,cross1,cross2,rel
478,WSJ.PL_MKT,CADEUR,0.158848134682078
479,OFDP.FUTURE_B1,CADEUR,0.000830993231960711
480,FED.JRXWTFB_N_B,CADEUR,-0.676563169351916
481,AUDUSD,CADCHF,0.302718263772744
482,AUDNZD,CADCHF,0.686270785177717
483,AUDJPY,CADCHF,-0.438509489957678
484,AUDGBP,CADCHF,0.420766393110234
485,AUDEUR,CADCHF,0.561899743062296
486,AUDCHF,CADCHF,0.860461844359381
487,AUDCAD,CADCHF,-0.0358665221986135
488,CADUSD,CADCHF,0.518450542539169
489,CADNZD,CADCHF,0.763627857641497
490,CADJPY,CADCHF,-0.397158396779981
491,CADGBP,CADCHF,0.657273931046772
492,CADEUR,CADCHF,0.787285600651314
494,CHFUSD,CADCHF,-0.79251312535282
495,CHFNZD,CADCHF,-0.238274722424078
496,CHFJPY,CADCHF,-0.775416951566512
497,CHFGBP,CADCHF,-0.548479493324805
498,CHFEUR,CADCHF,-0.537927552437556
499,EURUSD,CADCHF,-0.546637423515904
500,EURNZD,CADCHF,0.184786878283101
501,EURJPY,CADCHF,-0.640015208171896
502,EURGBP,CADCHF,-0.12126609827324
503,GBPUSD,CADCHF,-0.609786642096212
504,GBPNZD,CADCHF,0.325495414800886
505,GBPJPY,CADCHF,-0.615155199120924
506,JPYUSD,CADCHF,0.469098342509779
507,JPYNZD,CADCHF,0.60766438990977
508,NZDUSD,CADCHF,-0.648720432507323
509,YAHOO.INDEX_GDAXI,CADCHF,-0.554666611588647
510,YAHOO.INDEX_FTSE,CADCHF,-0.477773816424849
511,YAHOO.INDEX_AORD,CADCHF,-0.460391949546407
512,NIKKEI.INDEX,CADCHF,-0.561535151370114
513,YAHOO.INDEX_GSPTSE,CADCHF,-0.545338605732756
514,OFDP.SILVER_5,CADCHF,0.149883330574451
515,WGC.GOLD_DAILY_USD,CADCHF,0.157337218604257
516,WSJ.COPPER,CADCHF,0.298672618687224
517,WSJ.CORN_2,CADCHF,0.321712240752798
518,WSJ.PL_MKT,CADCHF,0.249034956497025
519,OFDP.FUTURE_B1,CADCHF,-0.391440729544078
520,FED.JRXWTFB_N_B,CADCHF,-0.662472228058662
521,AUDUSD,CHFUSD,0.238602127138453
522,AUDNZD,CHFUSD,-0.211870687983111
523,AUDJPY,CHFUSD,0.208582535480746
524,AUDGBP,CHFUSD,-0.0246411501445014
525,AUDEUR,CHFUSD,-0.200660423729462
526,AUDCHF,CHFUSD,-0.549148286987877
527,AUDCAD,CHFUSD,0.295477912232215
528,CADUSD,CHFUSD,0.104719684264051
529,CADNZD,CHFUSD,-0.393011034060589
530,CADJPY,CHFUSD,0.0796482902642224
531,CADGBP,CHFUSD,-0.235318332561357
532,CADEUR,CHFUSD,-0.464396755271493
533,CADCHF,CHFUSD,-0.79251312535282
535,CHFNZD,CHFUSD,0.525070719743063
536,CHFJPY,CHFUSD,0.436231799705338
537,CHFGBP,CHFUSD,0.831635956320134
538,CHFEUR,CHFUSD,0.661245740723421
539,EURUSD,CHFUSD,0.708313383037658
540,EURNZD,CHFUSD,-0.0382801151888081
541,EURJPY,CHFUSD,0.258332644373309
542,EURGBP,CHFUSD,0.363536228778561
543,GBPUSD,CHFUSD,0.547665407920348
544,GBPNZD,CHFUSD,-0.316320115717079
545,GBPJPY,CHFUSD,0.17396439597694
546,JPYUSD,CHFUSD,-0.0171467813614756
547,JPYNZD,CHFUSD,-0.242736279190152
548,NZDUSD,CHFUSD,0.602579265888025
549,YAHOO.INDEX_GDAXI,CHFUSD,0.185933743080408
