cross1,cross2,rel
EURJPY,NZDUSD,0.502042053
CHFNZD,GBPNZD,0.5103583479
EURUSD,EURJPY,0.5154158631
CHFGBP,EURNZD,0.5163975988
CADCHF,JPYNZD,0.5186882943
CHFNZD,EURGBP,0.5238102252
GBPJPY,NZDUSD,0.5290842484
EURUSD,EURNZD,0.529689987
CHFNZD,CHFEUR,0.531944638
CHFNZD,EURUSD,0.5521647821
CHFJPY,NZDUSD,0.5532013356
CHFUSD,GBPUSD,0.5562182943
CADGBP,JPYNZD,0.5634640984
EURUSD,EURGBP,0.5727886183
CHFJPY,EURUSD,0.5743749008
AUDUSD,CADCHF,0.5787123765
CHFGBP,CHFEUR,0.5800117677
AUDCAD,JPYUSD,0.580834129
CHFGBP,EURUSD,0.5842830344
EURNZD,GBPNZD,0.5868682866
AUDUSD,CADNZD,0.5887996165
EURUSD,GBPUSD,0.5889805281
GBPUSD,NZDUSD,0.5991104231
AUDCHF,JPYNZD,0.6011549867
AUDGBP,JPYNZD,0.6087950787
EURNZD,EURGBP,0.6099429463
CADGBP,JPYUSD,0.6123872095
AUDJPY,NZDUSD,0.6183562934
AUDCHF,JPYUSD,0.6231296723
CHFUSD,CHFEUR,0.6342559228
AUDCHF,CADNZD,0.6422087593
CADEUR,JPYUSD,0.6493628222
AUDNZD,AUDCAD,0.649757093
CADEUR,JPYNZD,0.6505127989
CADUSD,CADCHF,0.6531373608
CADUSD,JPYNZD,0.6629000944
AUDUSD,JPYNZD,0.6649181091
AUDEUR,CADNZD,0.6689067271
AUDGBP,CADNZD,0.6741503918
AUDEUR,JPYNZD,0.6775161854
AUDCHF,AUDCAD,0.6886351056
CHFUSD,CHFNZD,0.6927900774
AUDGBP,CADCHF,0.6970199495
AUDCHF,CADUSD,0.7004703023
AUDGBP,JPYUSD,0.7107579985
AUDNZD,CADCHF,0.717700367
CADNZD,CADCHF,0.7236865564
AUDEUR,JPYUSD,0.7258926135
AUDUSD,CADEUR,0.7268198102
CHFNZD,CHFGBP,0.733752196
AUDGBP,AUDCAD,0.7338445309
CADUSD,JPYUSD,0.7387502775
AUDEUR,AUDCAD,0.7409312768
AUDUSD,CADGBP,0.7444715237
CHFUSD,CHFGBP,0.7450217389
CADGBP,CADCHF,0.764788262
CADUSD,CADNZD,0.7696949565
AUDUSD,JPYUSD,0.7761189181
AUDCHF,CADGBP,0.7784859959
CADNZD,JPYUSD,0.7786932063
AUDEUR,CADUSD,0.7845764968
CADNZD,CADEUR,0.7868539877
AUDEUR,CADGBP,0.7911644611
CADUSD,CADEUR,0.7970812037
CADNZD,CADGBP,0.8090669083
AUDUSD,AUDCHF,0.811134203
AUDJPY,CHFJPY,0.811951625
AUDJPY,GBPJPY,0.8166446894
CHFGBP,EURGBP,0.8172004986
AUDGBP,CADEUR,0.8173750307
AUDNZD,CADEUR,0.8188359451
AUDNZD,CADUSD,0.8229955756
AUDJPY,EURJPY,0.8322526191
AUDNZD,AUDCHF,0.8342058425
AUDUSD,AUDCAD,0.8364189284
AUDEUR,CADCHF,0.8367630178
AUDNZD,CADGBP,0.841889717
AUDGBP,CADUSD,0.8430487084
CADGBP,CADEUR,0.8493073059
CADNZD,JPYNZD,0.852903673
CHFNZD,EURNZD,0.8629307399
CADUSD,CADGBP,0.8631666989
AUDUSD,AUDNZD,0.8656598245
AUDUSD,CADUSD,0.8723872623
AUDNZD,CADNZD,0.8782492272
AUDNZD,AUDEUR,0.8808159301
CHFUSD,EURUSD,0.8820703989
AUDGBP,AUDCHF,0.8833853807
AUDNZD,JPYUSD,0.891621904
AUDUSD,AUDEUR,0.8922938154
AUDNZD,JPYNZD,0.8925964302
CADJPY,CHFJPY,0.8965849902
CADJPY,GBPJPY,0.9028098594
AUDCHF,CADCHF,0.9073418538
AUDGBP,CADGBP,0.9084658881
AUDCHF,CADEUR,0.9106719958
AUDNZD,AUDGBP,0.9113716961
AUDGBP,AUDEUR,0.9162104638
CADJPY,EURJPY,0.9227196766
AUDEUR,CADEUR,0.9236217748
AUDUSD,AUDGBP,0.9247600917
AUDJPY,CADJPY,0.931181732
CADEUR,CADCHF,0.9434407026
CHFJPY,GBPJPY,0.9648006803
AUDEUR,AUDCHF,0.9684340244
JPYUSD,JPYNZD,0.9725760008
EURJPY,GBPJPY,0.9767822091
CHFJPY,EURJPY,0.9897486738
