Open,High,Low,Close,Volume
119.996,120.397,118.673,119.842,44428
119.955,120.091,119.865,120.059,9805
120.06,120.563,119.903,120.444,25694
120.445,120.508,119.676,119.877,32735
119.881,120.17,119.738,119.888,27647
119.885,120.018,119.618,119.957,24468
119.96,120.34,119.926,120.15,15813
120.155,120.25,120.083,120.146,5775
120.144,120.211,119.8,119.884,10061
119.884,119.895,119.474,119.661,17402
119.656,119.733,118.608,119.038,27469
119.04,119.242,118.057,119.08,32452
119.082,119.651,118.893,119.404,16601
119.343,119.598,119.131,119.424,10716
119.425,119.556,119.217,119.475,18618
119.48,119.955,119.406,119.894,16534
119.894,120.086,119.719,119.768,17900
119.768,120.98,119.589,120.673,29284
120.669,121.465,120.217,121.43,26125
121.374,121.48,121.053,121.096,7174
121.094,121.157,120.472,120.564,22181
120.563,120.734,120.152,120.339,22669
120.335,121.251,119.954,120.647,34165
120.645,121.176,120.211,120.826,31317
120.826,121.474,120.273,120.592,32584
120.316,120.569,120.249,120.34,8016
120.337,120.841,120.303,120.654,15843
120.656,121.372,120.589,121.184,18523
121.18,121.71,120.996,121.502,26917
121.499,121.993,121.424,121.766,26578
121.768,123.26,121.766,123.083,29367
123.239,123.468,123.169,123.374,5720
123.375,123.597,122.969,123.213,21450
123.212,123.432,122.726,122.933,23788
122.931,123.2,122.735,122.886,17415
122.885,123.065,122.49,122.589,26206
122.593,122.981,122.352,122.553,19773
122.218,122.596,122.168,122.493,8909
122.496,123.399,122.378,123.379,21479
123.381,123.484,123.176,123.319,19476
123.322,123.745,123.077,123.235,24405
123.236,123.37,122.614,122.854,21022
122.851,123.029,122.706,122.718,13594
122.765,123.254,122.758,123.199,4648
123.199,123.253,122.661,122.771,15512
122.769,122.778,122.254,122.41,21814
122.408,122.928,122.253,122.573,20998
122.571,122.716,122.495,122.591,17511
122.59,122.873,122.298,122.703,11157
122.793,122.841,122.683,122.713,3697
122.712,123.332,122.632,122.942,17678
122.942,123.189,122.763,123.053,15797
123.057,123.661,123.005,123.384,18365
123.387,123.555,122.286,122.55,46005
122.555,123.366,122.411,123.075,26381
123.103,123.319,123.103,123.286,5509
123.287,123.47,123.051,123.122,17340
123.121,123.184,122.687,122.694,22698
122.698,122.831,121.064,121.665,39509
121.662,122.225,121.238,122.047,28961
122.045,122.094,120.573,120.932,33934
121.144,121.195,120.625,121.145,10351
121.148,121.344,120.337,120.934,38188
120.934,121.937,120.57,121.896,29654
121.9,122.632,121.365,122.444,49608
122.443,123.525,121.959,122.286,49814
122.286,122.287,121.051,121.119,42165
121.189,121.376,121.022,121.309,8792
121.314,121.499,120.832,121.245,23209
121.245,121.272,120.716,121.021,18849
121.017,121.044,120.559,120.631,18016
120.626,120.64,120.242,120.269,7640
120.268,120.534,120.117,120.444,6137
120.441,120.62,120.198,120.332,12627
120.327,120.569,120.283,120.448,11119
120.45,120.647,120.344,120.394,10633
120.394,120.437,119.995,120.202,8247
120.145,120.456,119.462,119.528,12834
119.533,119.692,118.694,119.535,39854
119.532,119.573,118.334,118.715,41943
118.715,118.791,117.653,117.967,49998
117.966,118.587,117.32,118.334,65766
118.334,118.802,117.18,117.188,43720
117.198,117.44,116.656,117.383,23643
117.382,118.013,117.085,117.492,51201
117.496,118.352,117.216,118.299,47677
118.299,118.374,117.286,117.4,45073
117.396,118.275,117.39,117.736,51116
117.739,117.92,116.501,116.963,52217
116.667,117.354,116.65,117.126,17235
117.128,117.701,117.004,117.55,35255
117.554,118.107,116.877,116.941,45022
116.944,117.473,115.961,116.991,74795
116.987,117.942,116.463,117.905,80201
117.905,118.869,117.854,118.744,35603
118.635,118.847,118.423,118.726,11275
118.726,118.841,118.003,118.007,37155
118.006,118.615,117.648,118.311,37205
118.309,119.058,118.068,118.677,48243
118.674,121.383,118.388,120.028,92114
120.029,121.681,119.968,121.109,56354
121.293,121.476,121.095,121.242,14610
121.238,121.401,120.524,120.61,34636
120.607,120.856,119.41,119.61,47847
119.613,120.035,117.045,117.924,86659
117.921,118.161,116.519,116.693,68005
116.697,117.422,116.255,116.817,55087
116.772,117.345,116.772,117.314,13695
117.311,117.52,114.195,114.549,91862
114.547,115.533,114.248,114.427,111061
114.432,115.189,112.521,112.629,110571
112.631,113.162,110.962,112.71,182203
112.708,113.53,111.628,113.175,76826
113.376,113.982,113.262,113.884,21779
113.888,114.867,113.592,114.771,41175
114.769,114.792,113.582,113.695,56444
113.696,114.498,113.369,113.979,59847
113.976,114.099,112.706,112.83,45486
112.83,113.208,112.298,112.526,35857
112.528,113.043,112.418,112.914,12851
112.909,113.38,111.961,112.36,44239
112.356,112.498,111.627,111.745,48900
111.739,112.615,111.031,112.546,54745
112.543,113.213,111.965,112.819,53609
112.823,113.983,112.554,113.968,34627
113.929,113.971,113.094,113.108,13868
113.108,113.248,112.152,112.609,52741
112.606,114.176,112.509,113.852,41581
113.852,114.548,113.209,114.074,43994
114.069,114.26,113.207,113.692,38219
113.691,114.249,113.11,113.723,42599
113.882,113.91,113.488,113.735,11013
113.732,113.769,112.735,113.203,32955
113.207,113.238,112.403,112.574,38425
112.571,113.798,112.218,113.744,35026
113.748,114.44,112.59,113.518,79624
113.518,113.911,113.332,113.798,25947
113.925,114.001,113.633,113.834,8364
113.831,114.1,113.35,113.493,32113
113.492,113.565,112.625,113.377,35378
113.374,113.81,112.324,112.493,45042
112.492,112.555,110.656,111.245,67920
111.243,111.753,111.05,111.514,21866
111.502,111.579,111.213,111.366,6299
111.362,112.201,111.345,111.848,23223
111.845,112.484,111.369,112.326,35938
112.325,112.899,112.22,112.69,28585
112.691,113.311,112.365,113.101,31720
113.099,113.159,112.879,113.042,14571
113.147,113.681,113.07,113.605,7333
113.607,113.655,113.143,113.52,16053
113.516,113.796,112.384,112.491,34809
112.494,112.668,112.01,112.399,31210
112.398,112.594,112.049,112.293,29223
112.297,112.448,111.563,111.677,30867
111.58,111.79,111.312,111.447,9195
111.442,111.733,110.773,110.844,28156
110.844,111.049,109.93,110.447,45624
110.442,110.538,109.094,109.281,45353
109.285,109.296,107.655,108.642,58631
108.646,109.092,107.986,108.028,27839
107.929,108.326,107.62,107.848,16492
