Date,CURRFX.NZDCHF.1
2013-03-02,0.774299
2013-03-01,0.770632
2013-02-28,0.770193
2013-02-27,0.775364
2013-02-26,0.778859
2013-02-25,0.778994
2013-02-24,0.778994
2013-02-23,0.777787
2013-02-22,0.775598
2013-02-21,0.776972
2013-02-20,0.780253
2013-02-19,0.77967
2013-02-18,0.779065
2013-02-17,0.780538
2013-02-16,0.781977
2013-02-15,0.776966
2013-02-14,0.770762
2013-02-13,0.768041
2013-02-12,0.766381
2013-02-11,0.766783
2013-02-10,0.766783
2013-02-09,0.764919
2013-02-08,0.764046
2013-02-07,0.767071
2013-02-06,0.767604
2013-02-05,0.768482
2013-02-04,0.767664
2013-02-03,0.766561
2013-02-02,0.763803
2013-02-01,0.763962
2013-01-31,0.769176
2013-01-30,0.772848
2013-01-29,0.773698
2013-01-28,0.775638
2013-01-27,0.775984
2013-01-26,0.778485
2013-01-25,0.782178
2013-01-24,0.782104
2013-01-23,0.781198
2013-01-22,0.781069
2013-01-21,0.782364
2013-01-20,0.781946
2013-01-19,0.782031
2013-01-18,0.782714
2013-01-17,0.780552
2013-01-16,0.77476
2013-01-15,0.767293
2013-01-14,0.765921
2013-01-13,0.765921
2013-01-12,0.771893
2013-01-11,0.776043
2013-01-10,0.773742
2013-01-09,0.770974
2013-01-08,0.770021
2013-01-07,0.76904
2013-01-06,0.767945
2013-01-05,0.766416
2013-01-04,0.764761
2013-01-03,0.759372
2013-01-02,0.754752
2013-01-01,0.751491
2012-12-31,0.749035
2012-12-30,0.749514
2012-12-29,0.749413
2012-12-28,0.749118
2012-12-27,0.751433
2012-12-26,0.75285
2012-12-25,0.753206
2012-12-24,0.754719
2012-12-23,0.754719
2012-12-22,0.758682
2012-12-21,0.76262
2012-12-20,0.767547
2012-12-19,0.77362
2012-12-18,0.775831
2012-12-17,0.777108
2012-12-16,0.777108
2012-12-15,0.779038
2012-12-14,0.781486
2012-12-13,0.781512
2012-12-12,0.780041
2012-12-11,0.778781
2012-12-10,0.77778
2012-12-09,0.77778
2012-12-08,0.774857
2012-12-07,0.768785
2012-12-06,0.763965
2012-12-05,0.761527
2012-12-04,0.760299
2012-12-03,0.761387
2012-12-02,0.761387
2012-12-01,0.762646
2012-11-30,0.764553
2012-11-29,0.764553
2012-11-28,0.763994
2012-11-27,0.764462
2012-11-26,0.764203
2012-11-25,0.764203
2012-11-24,0.763823
2012-11-23,0.764657
2012-11-22,0.767372
2012-11-21,0.769237
2012-11-20,0.768921
2012-11-19,0.766935
2012-11-18,0.766935
2012-11-17,0.765028
2012-11-16,0.767284
2012-11-15,0.772577
2012-11-14,0.775281
2012-11-13,0.773438
2012-11-12,0.77226
2012-11-11,0.77226
2012-11-10,0.772383
2012-11-09,0.775645
2012-11-08,0.780139
2012-11-07,0.779055
2012-11-06,0.77677
2012-11-05,0.77508
2012-11-04,0.77508
2012-11-03,0.77154
2012-11-02,0.766863
2012-11-01,0.765803
2012-10-31,0.767407
2012-10-30,0.768535
2012-10-29,0.769139
2012-10-28,0.768452
2012-10-27,0.766939
2012-10-26,0.76384
2012-10-25,0.75876
2012-10-24,0.75754
2012-10-23,0.757407
2012-10-22,0.757451
2012-10-21,0.757451
2012-10-20,0.758062
2012-10-19,0.757214
2012-10-18,0.756614
2012-10-17,0.759411
2012-10-16,0.762337
2012-10-15,0.762364
2012-10-14,0.763082
2012-10-13,0.765227
2012-10-12,0.767222
2012-10-11,0.768224
2012-10-10,0.766114
2012-10-09,0.762189
2012-10-08,0.760336
2012-10-07,0.762357
2012-10-06,0.766329
2012-10-05,0.76871
2012-10-04,0.772967
2012-10-03,0.777784
2012-10-02,0.779469
2012-10-01,0.780144
2012-09-30,0.780144
2012-09-29,0.778702
2012-09-28,0.774926
2012-09-27,0.771162
2012-09-26,0.770705
2012-09-25,0.771363
2012-09-24,0.773795
2012-09-23,0.773795
2012-09-22,0.772244
2012-09-21,0.768949
2012-09-20,0.767754
2012-09-19,0.76728
2012-09-18,0.767951
2012-09-17,0.770763
2012-09-16,0.770763
2012-09-15,0.77379
2012-09-14,0.770516
2012-09-13,0.768011
2012-09-12,0.766783
2012-09-11,0.766707
2012-09-10,0.766939
2012-09-09,0.7668
2012-09-08,0.764828
2012-09-07,0.761277
2012-09-06,0.759782
2012-09-05,0.760693
2012-09-04,0.764405
2012-09-03,0.767179
2012-09-02,0.766994
2012-09-01,0.766804
2012-08-31,0.76795
2012-08-30,0.770831
2012-08-29,0.775196
2012-08-28,0.778016
2012-08-27,0.778092
2012-08-26,0.778092
2012-08-25,0.778717
2012-08-24,0.780344
2012-08-23,0.781939
2012-08-22,0.786196
2012-08-21,0.786987
2012-08-20,0.786337
2012-08-19,0.78659
2012-08-18,0.787573
2012-08-17,0.787834
2012-08-16,0.786486
2012-08-15,0.78819
2012-08-14,0.792064
2012-08-13,0.794336
2012-08-12,0.793711
2012-08-11,0.792178
2012-08-10,0.791181
2012-08-09,0.791733
2012-08-08,0.793694
2012-08-07,0.794307
2012-08-06,0.796093
2012-08-05,0.796093
2012-08-04,0.797515
2012-08-03,0.79447
2012-08-02,0.792318
2012-08-01,0.791741
2012-07-31,0.790428
2012-07-30,0.788927
2012-07-29,0.787506
2012-07-28,0.78436
2012-07-27,0.781484
2012-07-26,0.780588
2012-07-25,0.783989
2012-07-24,0.787026
2012-07-23,0.790161
2012-07-22,0.788975
2012-07-21,0.786208
2012-07-20,0.782802
2012-07-19,0.780296
2012-07-18,0.780936
2012-07-17,0.781273
2012-07-16,0.780863
2012-07-15,0.780179
2012-07-14,0.77871
2012-07-13,0.778689
2012-07-12,0.77916
2012-07-11,0.778607
2012-07-10,0.778607
2012-07-09,0.779963
2012-07-08,0.779465
2012-07-07,0.776756
2012-07-06,0.771714
2012-07-05,0.767836
2012-07-04,0.765791
2012-07-03,0.762518
2012-07-02,0.760328
2012-07-01,0.760328
2012-06-30,0.761322
2012-06-29,0.761601
2012-06-28,0.759831
2012-06-27,0.757904
2012-06-26,0.75542
2012-06-25,0.755263
2012-06-24,0.754975
2012-06-23,0.755107
2012-06-22,0.754944
2012-06-21,0.75422
2012-06-20,0.75433
2012-06-19,0.750617
2012-06-18,0.748738
