Date,YAHOO.INDEX_SSEC.4
2012-03-26,2350.6
2012-03-23,2349.54
2012-03-22,2375.77
2012-03-21,2378.2
2012-03-20,2376.84
2012-03-19,2410.18
2012-03-16,2404.74
2012-03-15,2373.77
2012-03-14,2391.23
2012-03-13,2455.79
2012-03-12,2434.86
2012-03-09,2439.46
2012-03-08,2420.28
2012-03-07,2394.79
2012-03-06,2410.45
2012-03-05,2445.0
2012-03-02,2460.69
2012-03-01,2426.11
2012-02-29,2428.49
2012-02-28,2451.86
2012-02-27,2447.06
2012-02-24,2439.63
2012-02-23,2409.55
2012-02-22,2403.59
2012-02-21,2381.43
2012-02-20,2363.6
2012-02-17,2357.18
2012-02-16,2356.86
2012-02-15,2366.7
2012-02-14,2344.77
2012-02-13,2351.85
2012-02-10,2351.98
2012-02-09,2349.59
2012-02-08,2347.53
2012-02-07,2291.9
2012-02-06,2331.14
2012-02-03,2330.41
2012-02-02,2312.56
2012-02-01,2268.08
2012-01-31,2292.61
2012-01-30,2285.04
2012-01-20,2319.12
2012-01-19,2296.07
2012-01-18,2266.38
2012-01-17,2298.38
2012-01-16,2206.19
2012-01-13,2244.58
2012-01-12,2275.01
2012-01-11,2276.05
2012-01-10,2285.74
2012-01-09,2225.89
2012-01-06,2163.4
2012-01-05,2148.45
2012-01-04,2169.39
2011-12-30,2199.42
2011-12-29,2173.56
2011-12-28,2170.01
2011-12-27,2166.21
2011-12-26,2190.11
2011-12-23,2204.78
2011-12-22,2186.3
2011-12-21,2191.15
2011-12-20,2215.93
2011-12-19,2218.24
2011-12-16,2224.84
2011-12-15,2180.9
2011-12-14,2228.52
2011-12-13,2248.59
2011-12-12,2291.54
2011-12-09,2315.27
2011-12-08,2329.82
2011-12-07,2332.73
2011-12-06,2325.91
2011-12-05,2333.23
2011-12-02,2360.66
2011-12-01,2386.86
2011-11-30,2333.41
2011-11-29,2412.39
2011-11-28,2383.03
2011-11-25,2380.22
2011-11-24,2397.55
2011-11-23,2395.06
2011-11-22,2412.62
2011-11-21,2415.13
2011-11-18,2416.56
2011-11-17,2463.05
2011-11-16,2466.96
2011-11-15,2529.76
2011-11-14,2528.71
2011-11-11,2481.08
2011-11-10,2479.54
2011-11-09,2524.92
2011-11-08,2503.84
2011-11-07,2509.8
2011-11-04,2528.29
2011-11-03,2508.09
2011-11-02,2504.11
2011-11-01,2470.02
2011-10-31,2468.25
2011-10-28,2473.41
2011-10-27,2435.61
2011-10-26,2427.48
2011-10-25,2409.67
2011-10-24,2370.33
2011-10-21,2317.27
2011-10-20,2331.37
2011-10-19,2377.51
2011-10-18,2383.49
2011-10-17,2440.4
2011-10-14,2431.38
2011-10-13,2438.79
2011-10-12,2420.0
2011-10-11,2348.52
2011-10-10,2344.79
2011-10-03,2359.22
2011-09-30,2359.22
2011-09-29,2365.34
2011-09-28,2392.06
2011-09-27,2415.05
2011-09-26,2393.18
2011-09-23,2433.16
2011-09-22,2443.06
2011-09-21,2512.96
2011-09-20,2447.75
2011-09-19,2437.79
2011-09-16,2482.34
2011-09-15,2479.05
2011-09-14,2484.83
2011-09-13,2471.3
2011-09-09,2497.75
2011-09-08,2498.94
2011-09-07,2516.09
2011-09-06,2470.52
2011-09-05,2478.74
