Date,CURRFX.AUDCHF.1
2012-09-05,0.978027
2012-09-04,0.981681
2012-09-03,0.987102
2012-08-31,0.9904
2012-08-30,0.993038
2012-08-29,0.99549
2012-08-28,0.99792
2012-08-27,1.0006
2012-08-24,1.00487
2012-08-23,1.00971
2012-08-22,1.01571
2012-08-21,1.01625
2012-08-20,1.01817
2012-08-17,1.02398
2012-08-16,1.02322
2012-08-15,1.02509
2012-08-14,1.03008
2012-08-13,1.03203
2012-08-10,1.02805
2012-08-09,1.02445
2012-08-08,1.02402
2012-08-07,1.02478
2012-08-06,1.02684
2012-08-03,1.02831
2012-08-02,1.02693
2012-08-01,1.02718
2012-07-31,1.02426
2012-07-30,1.02099
2012-07-27,1.01853
2012-07-26,1.01837
2012-07-25,1.01986
2012-07-24,1.02258
2012-07-23,1.02269
2012-07-20,1.01459
2012-07-19,1.00857
2012-07-18,1.00516
2012-07-17,1.00339
2012-07-16,1.00152
2012-07-13,1.00041
2012-07-12,1.00029
2012-07-11,0.996531
2012-07-10,0.996501
2012-07-09,0.995047
2012-07-06,0.987212
2012-07-05,0.981401
2012-07-04,0.977788
2012-07-03,0.973769
2012-07-02,0.971054
2012-06-29,0.969876
2012-06-28,0.967028
2012-06-27,0.963302
2012-06-26,0.961273
2012-06-25,0.962153
2012-06-22,0.96369
2012-06-21,0.964622
2012-06-20,0.963037
2012-06-19,0.958937
2012-06-18,0.955232
2012-06-15,0.952489
2012-06-14,0.953926
2012-06-13,0.95166
2012-06-12,0.951232
2012-06-11,0.951397
2012-06-08,0.948324
2012-06-07,0.943152
2012-06-06,0.937207
2012-06-05,0.936012
2012-06-04,0.939575
2012-06-01,0.943251
2012-05-31,0.943855
2012-05-30,0.943606
2012-05-29,0.939898
2012-05-28,0.935042
2012-05-25,0.93042
2012-05-24,0.928166
2012-05-23,0.928759
2012-05-22,0.925856
2012-05-21,0.929404
2012-05-18,0.937366
2012-05-17,0.936202
2012-05-16,0.934388
2012-05-15,0.933006
2012-05-14,0.934549
2012-05-11,0.935137
2012-05-10,0.93422
2012-05-09,0.937173
2012-05-08,0.937386
2012-05-07,0.937315
2012-05-04,0.940574
