Date,CURRFX.GBPCHF.1
2012-07-05,1.49557
2012-07-04,1.49526
2012-07-03,1.49166
2012-07-02,1.49313
2012-07-01,1.49047
2012-06-30,1.49465
2012-06-29,1.49998
2012-06-28,1.50058
2012-06-27,1.49759
2012-06-26,1.49253
2012-06-25,1.48895
2012-06-24,1.49037
2012-06-23,1.49094
2012-06-22,1.48863
2012-06-21,1.48981
2012-06-20,1.4911
2012-06-19,1.49054
2012-06-18,1.48897
2012-06-17,1.48912
2012-06-16,1.48181
2012-06-15,1.48545
2012-06-14,1.4914
2012-06-13,1.48862
2012-06-12,1.48344
2012-06-11,1.48291
2012-06-10,1.48492
2012-06-09,1.48401
2012-06-08,1.48239
2012-06-07,1.48237
2012-06-06,1.48164
2012-06-05,1.48412
2012-06-04,1.49002
2012-06-03,1.4871
2012-06-02,1.49525
2012-06-01,1.50164
2012-05-31,1.5035
2012-05-30,1.50225
2012-05-29,1.50151
2012-05-28,1.50139
2012-05-27,1.50229
2012-05-26,1.50029
2012-05-25,1.49761
2012-05-24,1.49174
2012-05-23,1.48646
2012-05-22,1.48681
2012-05-21,1.49164
2012-05-20,1.48916
2012-05-19,1.4951
2012-05-18,1.50127
2012-05-17,1.50561
2012-05-16,1.50381
2012-05-15,1.4984
2012-05-14,1.49557
2012-05-13,1.49502
2012-05-12,1.49672
2012-05-11,1.49616
2012-05-10,1.4927
2012-05-09,1.48787
2012-05-08,1.48787
2012-05-07,1.48162
2012-05-06,1.48165
2012-05-05,1.47955
2012-05-04,1.47826
2012-05-03,1.47499
2012-05-02,1.47317
2012-05-01,1.47537
2012-04-30,1.47269
2012-04-29,1.47381
2012-04-28,1.47212
2012-04-27,1.46947
2012-04-26,1.46976
2012-04-25,1.47171
2012-04-24,1.46909
2012-04-23,1.46704
2012-04-22,1.46637
2012-04-21,1.4684
2012-04-20,1.46742
2012-04-19,1.4614
2012-04-18,1.45818
2012-04-17,1.45904
2012-04-16,1.4575
2012-04-15,1.45675
2012-04-14,1.45671
2012-04-13,1.45751
2012-04-12,1.45696
2012-04-11,1.45745
2012-04-10,1.45717
2012-04-09,1.45561
2012-04-08,1.45603
2012-04-07,1.45675
2012-04-06,1.4543
2012-04-05,1.44938
2012-04-04,1.44591
2012-04-03,1.4457
2012-04-02,1.4435
2012-04-01,1.44473
2012-03-31,1.44296
2012-03-30,1.44089
2012-03-29,1.44135
2012-03-28,1.44246
2012-03-27,1.44159
2012-03-26,1.4433
2012-03-25,1.44186
2012-03-24,1.44454
2012-03-23,1.44617
2012-03-22,1.44596
2012-03-21,1.44888
2012-03-20,1.45128
2012-03-19,1.45218
2012-03-18,1.45132
2012-03-17,1.45194
2012-03-16,1.45371
2012-03-15,1.44825
2012-03-14,1.43887
2012-03-13,1.4395
2012-03-12,1.44041
2012-03-11,1.43996
2012-03-10,1.43995
2012-03-09,1.44169
2012-03-08,1.44481
2012-03-07,1.44665
2012-03-06,1.44679
2012-03-05,1.44502
2012-03-04,1.44723
2012-03-03,1.44482
2012-03-02,1.4368
2012-03-01,1.42629
2012-02-29,1.42249
2012-02-28,1.42281
2012-02-27,1.42292
2012-02-26,1.42145
2012-02-25,1.42145
2012-02-24,1.42829
2012-02-23,1.43788
2012-02-22,1.44514
2012-02-21,1.45153
2012-02-20,1.45489
2012-02-19,1.4549
2012-02-18,1.45332
2012-02-17,1.45024
2012-02-16,1.44362
2012-02-15,1.44262
2012-02-14,1.44311
2012-02-13,1.4439
2012-02-12,1.44382
2012-02-11,1.44348
2012-02-10,1.44572
2012-02-09,1.45051
2012-02-08,1.45398
2012-02-07,1.45405
2012-02-06,1.45159
2012-02-05,1.45165
2012-02-04,1.45068
2012-02-03,1.45008
2012-02-02,1.44719
2012-02-01,1.44123
2012-01-31,1.43754
2012-01-30,1.43827
2012-01-29,1.43838
2012-01-28,1.44259
2012-01-27,1.44478
2012-01-26,1.4476
2012-01-25,1.44726
2012-01-24,1.45274
2012-01-23,1.45285
2012-01-22,1.45246
2012-01-21,1.44732
2012-01-20,1.44968
2012-01-19,1.455
2012-01-18,1.45994
2012-01-17,1.46022
2012-01-16,1.45773
2012-01-15,1.45606
2012-01-14,1.4535
2012-01-13,1.46073
2012-01-12,1.46814
2012-01-11,1.46944
2012-01-10,1.47279
2012-01-09,1.47339
2012-01-08,1.47433
2012-01-07,1.47444
2012-01-06,1.46925
2012-01-05,1.46189
2012-01-04,1.45783
2012-01-03,1.45758
2012-01-02,1.45721
2012-01-01,1.45618
2011-12-31,1.45329
2011-12-30,1.45745
2011-12-29,1.46204
2011-12-28,1.46267
2011-12-27,1.46124
2011-12-26,1.46263
2011-12-25,1.46225
2011-12-24,1.46668
2011-12-23,1.46499
2011-12-22,1.45902
2011-12-21,1.45463
2011-12-20,1.45382
2011-12-19,1.45981
2011-12-18,1.45584
2011-12-17,1.46063
2011-12-16,1.46668
2011-12-15,1.4649
2011-12-14,1.45799
2011-12-13,1.45014
2011-12-12,1.44829
2011-12-11,1.44653
2011-12-10,1.44811
2011-12-09,1.44946
2011-12-08,1.44586
2011-12-07,1.44224
2011-12-06,1.43841
2011-12-05,1.43555
2011-12-04,1.43683
2011-12-03,1.43536
2011-12-02,1.43388
2011-12-01,1.43439
2011-11-30,1.43381
2011-11-29,1.43528
2011-11-28,1.43261
2011-11-27,1.43372
2011-11-26,1.42938
2011-11-25,1.4277
2011-11-24,1.42993
2011-11-23,1.43522
2011-11-22,1.44411
2011-11-21,1.44852
2011-11-20,1.44845
2011-11-19,1.44845
2011-11-18,1.44828
2011-11-17,1.4486
2011-11-16,1.44713
2011-11-15,1.4447
2011-11-14,1.44622
2011-11-13,1.44522
2011-11-12,1.44503
2011-11-11,1.44542
2011-11-10,1.44425
2011-11-09,1.44253
2011-11-08,1.42946
2011-11-07,1.41556
2011-11-06,1.41672
2011-11-05,1.41266
2011-11-04,1.41139
2011-11-03,1.41417
2011-11-02,1.40904
2011-11-01,1.39548
2011-10-31,1.39427
2011-10-30,1.39085
2011-10-29,1.39163
2011-10-28,1.40038
2011-10-27,1.406
2011-10-26,1.40865
2011-10-25,1.40924
2011-10-24,1.41167
2011-10-23,1.40814
2011-10-22,1.41223
2011-10-21,1.41825
2011-10-20,1.41688
2011-10-19,1.41459
2011-10-18,1.41226
2011-10-17,1.41142
2011-10-16,1.41209
2011-10-15,1.41359
2011-10-14,1.41276
2011-10-13,1.41467
2011-10-12,1.42072
2011-10-11,1.43379
2011-10-10,1.4359
2011-10-09,1.43733
2011-10-08,1.42709
2011-10-07,1.42418
2011-10-06,1.42206
2011-10-05,1.4183
2011-10-04,1.41544
2011-10-03,1.41046
2011-10-02,1.41181
2011-10-01,1.40503
2011-09-30,1.40221
2011-09-29,1.4031
2011-09-28,1.40441
2011-09-27,1.40261
2011-09-26,1.39814
2011-09-25,1.3975
2011-09-24,1.39681
2011-09-23,1.39754
2011-09-22,1.3945
2011-09-21,1.38846
2011-09-20,1.38506
2011-09-19,1.382
2011-09-18,1.38153
2011-09-17,1.37956
2011-09-16,1.38259
2011-09-15,1.38961
2011-09-14,1.39771
2011-09-13,1.40344
2011-09-12,1.39525
2011-09-11,1.4017
2011-09-10,1.39181
2011-09-09,1.37742
2011-09-08,1.35314
2011-09-07,1.30275
2011-09-06,1.27353
2011-09-05,1.28579
2011-09-04,1.2779
2011-09-03,1.28522
2011-09-02,1.30872
2011-09-01,1.32837
2011-08-31,1.33585
2011-08-30,1.32791
2011-08-29,1.31223
2011-08-28,1.31239
2011-08-27,1.29976
2011-08-26,1.30162
2011-08-25,1.30346
2011-08-24,1.30045
2011-08-23,1.29611
2011-08-22,1.29828
2011-08-21,1.29662
2011-08-20,1.30612
2011-08-19,1.30653
2011-08-18,1.298
2011-08-17,1.28686
2011-08-16,1.27907
2011-08-15,1.24179
2011-08-14,1.25856
2011-08-13,1.22852
2011-08-12,1.19139
