Date,CURRFX.CHFJPY.1
2012-01-23,82.5691
2012-01-22,82.3803
2012-01-21,82.3803
2012-01-20,81.7173
2012-01-19,81.0644
2012-01-18,80.664
2012-01-17,80.6066
2012-01-16,80.8218
2012-01-15,80.9326
2012-01-14,81.0177
2012-01-13,80.845
2012-01-12,80.8511
2012-01-11,80.8359
2012-01-10,80.5667
2012-01-09,80.5496
2012-01-08,80.6989
2012-01-07,81.0136
2012-01-06,81.4569
2012-01-05,81.9398
2012-01-04,81.9769
2012-01-03,81.9115
2012-01-02,81.9375
2012-01-01,82.1019
2011-12-31,82.4082
2011-12-30,82.7194
2011-12-29,83.1931
2011-12-28,83.3357
2011-12-27,83.3357
2011-12-26,83.4016
2011-12-25,83.4016
2011-12-24,83.4439
2011-12-23,83.5001
2011-12-22,83.5312
2011-12-21,83.3241
2011-12-20,83.1241
2011-12-19,83.0636
2011-12-18,83.0228
2011-12-17,82.7114
2011-12-16,82.5764
2011-12-15,82.5764
2011-12-14,83.2244
2011-12-13,83.768
2011-12-12,84.0638
2011-12-11,84.0284
2011-12-10,83.9368
2011-12-09,83.9263
2011-12-08,84.0261
2011-12-07,84.3273
2011-12-06,84.6693
2011-12-05,84.7369
2011-12-04,84.7369
2011-12-03,84.9566
2011-12-02,84.9538
2011-12-01,84.7143
2011-11-30,84.4169
2011-11-29,83.9249
2011-11-28,83.6039
2011-11-27,83.6592
2011-11-26,83.8199
2011-11-25,84.0074
2011-11-24,84.1362
2011-11-23,83.9829
2011-11-22,83.8037
2011-11-21,83.8879
2011-11-20,83.855
2011-11-19,83.7588
2011-11-18,83.7942
2011-11-17,84.0979
2011-11-16,84.7521
2011-11-15,85.5095
2011-11-14,85.7264
2011-11-13,85.6684
2011-11-12,85.5578
2011-11-11,85.8032
2011-11-10,86.4024
2011-11-09,86.8308
2011-11-08,87.6436
2011-11-07,88.4066
2011-11-06,88.4576
2011-11-05,88.4061
2011-11-04,88.3136
2011-11-03,88.3712
2011-11-02,88.8856
2011-11-01,88.8394
2011-10-31,87.7942
2011-10-30,87.8769
