Date,CURRFX.EURNZD.1
2011-12-13,1.72817
2011-12-12,1.72322
2011-12-09,1.71879
2011-12-08,1.71996
2011-12-07,1.72053
2011-12-06,1.72212
2011-12-05,1.72551
2011-12-02,1.73377
2011-12-01,1.74756
2011-11-30,1.76272
2011-11-29,1.77654
2011-11-28,1.7924
2011-11-25,1.8024
2011-11-24,1.80598
2011-11-23,1.80184
2011-11-22,1.79188
2011-11-21,1.77957
2011-11-18,1.76209
2011-11-17,1.75724
2011-11-16,1.75324
2011-11-15,1.74873
2011-11-14,1.74808
2011-11-11,1.7403
2011-11-10,1.7337
2011-11-09,1.73121
2011-11-08,1.7328
2011-11-07,1.73978
2011-11-04,1.73945
2011-11-03,1.72696
2011-11-02,1.71982
2011-11-01,1.72623
2011-10-31,1.72623
2011-10-28,1.73726
2011-10-27,1.74271
2011-10-26,1.73121
2011-10-25,1.72622
2011-10-24,1.73114
2011-10-21,1.73296
2011-10-20,1.73271
2011-10-19,1.73103
2011-10-18,1.72553
2011-10-17,1.72788
2011-10-14,1.73681
2011-10-13,1.74175
2011-10-12,1.74307
2011-10-11,1.73923
2011-10-10,1.73818
2011-10-07,1.74412
2011-10-06,1.75173
2011-10-05,1.75351
2011-10-04,1.75372
2011-10-03,1.75531
2011-09-30,1.74449
2011-09-29,1.72885
2011-09-28,1.73031
2011-09-27,1.74047
2011-09-26,1.72972
2011-09-23,1.69635
2011-09-22,1.6678
2011-09-21,1.66107
2011-09-20,1.66179
2011-09-19,1.67122
2011-09-16,1.6763
2011-09-15,1.66439
2011-09-14,1.66068
2011-09-13,1.66115
2011-09-12,1.66785
2011-09-09,1.68761
2011-09-08,1.69756
2011-09-07,1.69395
2011-09-06,1.68132
2011-09-05,1.67826
2011-09-02,1.6857
2011-09-01,1.69391
2011-08-31,1.70727
2011-08-30,1.72139
2011-08-29,1.73059
2011-08-26,1.73806
2011-08-25,1.73825
2011-08-24,1.74189
2011-08-23,1.75364
2011-08-22,1.74956
2011-08-19,1.72828
2011-08-18,1.72665
2011-08-17,1.72679
2011-08-16,1.71719
2011-08-15,1.71993
2011-08-12,1.73039
2011-08-11,1.73053
2011-08-10,1.731
2011-08-09,1.7097
2011-08-08,1.68709
2011-08-05,1.66375
2011-08-04,1.64332
2011-08-03,1.62967
2011-08-02,1.63324
2011-08-01,1.6398
2011-07-29,1.64866
2011-07-28,1.65944
2011-07-27,1.66309
2011-07-26,1.66149
2011-07-25,1.66195
2011-07-22,1.66183
2011-07-21,1.66095
2011-07-20,1.66519
2011-07-19,1.66991
2011-07-18,1.67771
2011-07-15,1.68926
2011-07-14,1.70203
2011-07-13,1.70121
2011-07-12,1.69815
2011-07-11,1.71224
2011-07-08,1.73242
2011-07-07,1.74148
2011-07-06,1.74929
2011-07-05,1.75381
2011-07-04,1.75345
2011-07-01,1.75341
2011-06-30,1.7658
2011-06-29,1.77147
2011-06-28,1.75938
2011-06-27,1.7501
2011-06-24,1.75798
2011-06-23,1.76765
2011-06-22,1.76795
2011-06-21,1.76314
2011-06-20,1.76138
2011-06-17,1.76269
2011-06-16,1.7634
2011-06-15,1.76433
2011-06-14,1.75603
2011-06-13,1.75529
2011-06-10,1.77816
2011-06-09,1.79001
2011-06-08,1.78931
2011-06-07,1.79276
2011-06-06,1.78503
2011-06-03,1.76263
2011-06-02,1.75036
2011-06-01,1.74684
2011-05-31,1.74689
2011-05-30,1.74967
2011-05-27,1.75876
2011-05-26,1.76842
2011-05-25,1.77285
2011-05-24,1.77802
2011-05-23,1.7887
2011-05-20,1.80711
2011-05-19,1.81159
2011-05-18,1.81155
2011-05-17,1.80086
2011-05-16,1.79458
2011-05-13,1.80113
2011-05-12,1.80893
2011-05-11,1.81158
2011-05-10,1.81276
2011-05-09,1.83315
2011-05-06,1.87126
2011-05-05,1.8613
2011-05-04,1.84151
2011-05-03,1.8333
2011-05-02,1.83485
2011-04-29,1.83707
2011-04-28,1.82071
2011-04-27,1.819
2011-04-26,1.81858
2011-04-25,1.81781
2011-04-22,1.81967
2011-04-21,1.81615
2011-04-20,1.81154
2011-04-19,1.80756
2011-04-18,1.81382
2011-04-15,1.83149
2011-04-14,1.84048
2011-04-13,1.84625
2011-04-12,1.84779
2011-04-11,1.84551
2011-04-08,1.84171
2011-04-07,1.84632
2011-04-06,1.84884
2011-04-05,1.85254
2011-04-04,1.85619
2011-04-01,1.85818
2011-03-31,1.86241
2011-03-30,1.87207
2011-03-29,1.87048
2011-03-28,1.87687
2011-03-25,1.8994
2011-03-24,1.91638
2011-03-23,1.92674
2011-03-22,1.9362
2011-03-21,1.93916
2011-03-18,1.92625
2011-03-17,1.90507
2011-03-16,1.89739
2011-03-15,1.88205
2011-03-14,1.87681
2011-03-11,1.88186
2011-03-10,1.88165
2011-03-09,1.89031
2011-03-08,1.89681
2011-03-07,1.88606
2011-03-04,1.86425
2011-03-03,1.85124
2011-03-02,1.83691
2011-03-01,1.83213
2011-02-28,1.83532
2011-02-25,1.84076
2011-02-24,1.82797
2011-02-23,1.80562
2011-02-22,1.79432
2011-02-21,1.7973
2011-02-18,1.79596
2011-02-17,1.79301
2011-02-16,1.78669
2011-02-15,1.78248
2011-02-14,1.78031
2011-02-11,1.77428
2011-02-10,1.76531
2011-02-09,1.76117
