Date,CURRFX.EURJPY.1
2012-02-06,100.534
2012-02-03,100.088
2012-02-02,100.081
2012-02-01,100.49
2012-01-31,100.971
2012-01-30,101.557
2012-01-27,101.706
2012-01-26,101.088
2012-01-25,100.222
2012-01-24,99.644
2012-01-23,99.3703
2012-01-20,98.7466
2012-01-19,98.0283
2012-01-18,97.5475
2012-01-17,97.3407
2012-01-16,97.7132
2012-01-13,97.9723
2012-01-12,98.0361
2012-01-11,98.0735
2012-01-10,98.2528
2012-01-09,98.2528
2012-01-06,99.234
2012-01-05,99.7765
2012-01-04,99.7414
2012-01-03,99.5898
2012-01-02,99.9533
2011-12-30,100.86
2011-12-29,101.572
2011-12-28,101.82
2011-12-27,101.862
2011-12-26,101.906
2011-12-23,101.946
2011-12-22,101.828
2011-12-21,101.569
2011-12-20,101.427
2011-12-19,101.411
2011-12-16,101.419
2011-12-15,101.891
2011-12-14,102.826
2011-12-13,103.547
2011-12-12,103.862
2011-12-09,103.961
2011-12-08,104.142
2011-12-07,104.3
2011-12-06,104.584
2011-12-05,104.485
2011-12-02,104.329
2011-12-01,103.968
2011-11-30,103.838
2011-11-29,103.382
2011-11-28,102.99
2011-11-25,103.257
2011-11-24,103.748
2011-11-23,103.913
2011-11-22,103.844
2011-11-21,103.91
2011-11-18,103.828
2011-11-17,104.201
2011-11-16,105.017
2011-11-15,105.822
2011-11-14,105.83
2011-11-11,105.848
2011-11-10,106.876
2011-11-09,107.428
2011-11-08,107.635
2011-11-07,107.642
2011-11-04,107.283
2011-11-03,107.463
2011-11-02,108.214
2011-11-01,108.424
2011-10-31,106.99
2011-10-28,106.303
2011-10-27,105.769
2011-10-26,105.825
2011-10-25,105.813
2011-10-24,105.775
2011-10-21,105.697
2011-10-20,105.695
2011-10-19,105.866
2011-10-18,106.768
2011-10-17,106.687
2011-10-14,105.808
2011-10-13,105.115
2011-10-12,104.273
2011-10-11,103.382
2011-10-10,102.572
2011-10-07,102.386
2011-10-06,101.932
2011-10-05,101.764
2011-10-04,102.648
2011-10-03,103.52
2011-09-30,104.139
2011-09-29,103.915
2011-09-28,103.374
2011-09-27,103.075
2011-09-26,103.371
2011-09-23,103.823
2011-09-22,104.569
2011-09-21,104.678
2011-09-20,105.302
2011-09-19,105.879
2011-09-16,105.546
2011-09-15,105.186
2011-09-14,105.17
2011-09-13,105.351
2011-09-12,106.859
2011-09-09,108.56
2011-09-08,108.63
2011-09-07,108.572
2011-09-06,108.765
2011-09-05,109.469
2011-09-02,110.247
2011-09-01,110.735
2011-08-31,111.186
2011-08-30,111.294
2011-08-29,111.183
2011-08-26,110.976
2011-08-25,110.603
2011-08-24,110.487
2011-08-23,110.338
2011-08-22,110.174
2011-08-19,110.252
2011-08-18,110.546
2011-08-17,110.493
2011-08-16,109.894
2011-08-15,109.2
2011-08-12,109.291
2011-08-11,109.868
2011-08-10,110.439
2011-08-09,111.528
2011-08-08,112.195
2011-08-05,111.425
2011-08-04,109.941
2011-08-03,110.303
2011-08-02,110.765
2011-08-01,110.923
2011-07-29,111.924
2011-07-28,112.727
2011-07-27,112.802
2011-07-26,112.637
2011-07-25,112.639
2011-07-22,112.261
2011-07-21,111.93
2011-07-20,111.574
2011-07-19,111.529
2011-07-18,112.034
2011-07-15,111.819
2011-07-14,111.476
2011-07-13,112.415
2011-07-12,114.248
2011-07-11,115.387
2011-07-08,116.195
2011-07-07,116.723
2011-07-06,117.354
2011-07-05,117.394
2011-07-04,117.154
2011-07-01,116.624
2011-06-30,116.226
2011-06-29,115.309
2011-06-28,114.443
2011-06-27,114.385
2011-06-24,114.996
2011-06-23,115.301
2011-06-22,114.859
2011-06-21,114.478
2011-06-20,114.469
2011-06-17,114.795
2011-06-16,115.739
2011-06-15,115.787
2011-06-14,115.33
2011-06-13,115.843
2011-06-10,116.872
2011-06-09,117.152
2011-06-08,117.341
2011-06-07,117.344
2011-06-06,117.148
2011-06-03,116.738
2011-06-02,116.945
2011-06-01,116.345
2011-05-31,115.566
2011-05-30,115.63
2011-05-27,115.462
2011-05-26,115.351
2011-05-25,115.191
2011-05-24,115.228
2011-05-23,116.025
2011-05-20,116.352
2011-05-19,115.641
2011-05-18,114.881
2011-05-17,114.179
2011-05-16,114.449
2011-05-13,115.469
2011-05-12,115.894
2011-05-11,115.691
2011-05-10,115.691
2011-05-09,116.611
2011-05-06,119.043
2011-05-05,120.008
2011-05-04,120.205
2011-05-03,120.447
2011-05-02,120.566
2011-04-29,120.856
2011-04-28,119.934
2011-04-27,119.352
2011-04-26,119.441
2011-04-25,119.366
2011-04-22,119.548
2011-04-21,118.814
2011-04-20,118.07
2011-04-19,119.09
2011-04-18,120.226
2011-04-15,120.961
2011-04-14,121.485
2011-04-13,121.842
2011-04-12,122.536
2011-04-11,122.35
2011-04-08,121.788
2011-04-07,121.047
2011-04-06,119.776
2011-04-05,119.625
2011-04-04,118.856
2011-04-01,117.208
2011-03-31,116.356
2011-03-30,115.284
2011-03-29,114.759
2011-03-28,114.483
2011-03-25,114.409
2011-03-24,114.796
2011-03-23,115.073
2011-03-22,114.688
2011-03-21,112.753
2011-03-18,111.024
2011-03-17,112.85
2011-03-16,113.755
2011-03-15,114.088
2011-03-14,114.198
2011-03-11,114.887
2011-03-10,115.004
2011-03-09,114.961
2011-03-08,115.054
2011-03-07,114.673
2011-03-04,113.574
2011-03-03,113.128
2011-03-02,113.076
2011-03-01,112.566
2011-02-28,112.564
2011-02-25,113.098
2011-02-24,113.327
2011-02-23,113.421
2011-02-22,113.789
2011-02-21,113.712
2011-02-18,113.338
2011-02-17,113.101
2011-02-16,112.708
2011-02-15,112.686
2011-02-14,113.048
2011-02-11,112.878
2011-02-10,112.351
2011-02-09,111.894
2011-02-08,111.692
2011-02-07,111.852
2011-02-04,112.395
2011-02-03,112.55
2011-02-02,112.23
2011-02-01,111.89
2011-01-31,112.266
2011-01-28,112.917
2011-01-27,112.467
2011-01-26,112.462
2011-01-25,112.495
2011-01-24,111.879
2011-01-21,110.811
2011-01-20,110.495
2011-01-19,110.499
2011-01-18,110.499
2011-01-17,110.399
2011-01-14,109.003
2011-01-13,108.054
2011-01-12,107.432
2011-01-11,107.268
2011-01-10,107.982
2011-01-07,109.059
2011-01-06,109.253
2011-01-05,109.12
2011-01-04,108.474
2011-01-03,108.33
2010-12-31,108.015
2010-12-30,108.213
2010-12-29,108.756
2010-12-28,108.81
2010-12-27,108.846
2010-12-24,109.272
2010-12-23,109.838
2010-12-22,110.117
2010-12-21,110.429
2010-12-20,110.967
2010-12-17,111.518
2010-12-16,111.619
2010-12-15,111.619
2010-12-14,111.174
2010-12-13,111.093
2010-12-10,111.121
2010-12-09,110.778
2010-12-08,110.346
2010-12-07,110.492
2010-12-06,110.669
2010-12-03,110.147
2010-12-02,109.517
2010-12-01,110.142
2010-11-30,111.127
2010-11-29,111.363
2010-11-26,111.4
2010-11-25,111.822
2010-11-24,113.259
2010-11-23,114.294
2010-11-22,113.892
2010-11-19,113.03
2010-11-18,112.707
2010-11-17,112.979
2010-11-16,113.024
2010-11-15,113.005
2010-11-12,112.987
2010-11-11,112.729
2010-11-10,112.803
2010-11-09,113.595
2010-11-08,114.288
2010-11-05,114.269
2010-11-04,113.221
2010-11-03,112.505
2010-11-02,112.226
2010-11-01,112.331
2010-10-29,112.692
2010-10-28,112.784
2010-10-27,112.967
2010-10-26,113.258
2010-10-25,113.484
2010-10-22,113.113
2010-10-21,112.748
2010-10-20,112.97
2010-10-19,113.377
2010-10-18,114.074
2010-10-15,114.375
2010-10-14,113.927
2010-10-13,113.71
2010-10-12,114.245
2010-10-11,114.543
2010-10-08,115.069
2010-10-07,115.099
2010-10-06,114.68
2010-10-05,114.475
2010-10-04,114.336
2010-10-01,113.726
2010-09-30,113.718
2010-09-29,113.511
2010-09-28,113.511
2010-09-27,113.271
2010-09-24,112.865
2010-09-23,112.719
2010-09-22,112.125
2010-09-21,112.066
2010-09-20,111.964
2010-09-17,111.499
2010-09-16,109.599
2010-09-15,107.578
2010-09-14,107.35
2010-09-13,106.646
2010-09-10,106.472
2010-09-09,106.644
2010-09-08,107.472
2010-09-07,108.593
2010-09-06,108.412
2010-09-03,107.841
2010-09-02,107.39
2010-09-01,107.175
2010-08-31,108.113
2010-08-30,108.302
2010-08-27,107.308
2010-08-26,106.842
