Date,YAHOO.INDEX_FCHI.4
2011-01-19,3976.71
2011-01-18,4012.68
2011-01-17,3975.41
2011-01-14,3983.28
2011-01-13,3974.83
2011-01-12,3945.07
2011-01-11,3861.92
2011-01-10,3802.03
2011-01-07,3865.58
2011-01-06,3904.42
2011-01-05,3904.61
2011-01-04,3916.03
2011-01-03,3900.86
2010-12-31,3804.78
2010-12-30,3850.76
2010-12-29,3890.65
2010-12-28,3858.72
2010-12-27,3862.19
2010-12-24,3900.39
2010-12-23,3911.32
2010-12-22,3919.71
2010-12-21,3927.49
2010-12-20,3885.08
2010-12-17,3867.35
2010-12-16,3888.36
2010-12-15,3880.19
2010-12-14,3902.87
2010-12-13,3892.44
2010-12-10,3857.35
2010-12-09,3858.05
2010-12-08,3831.98
2010-12-07,3810.5
2010-12-06,3749.23
2010-12-03,3750.55
2010-12-02,3747.04
2010-12-01,3669.29
2010-11-30,3610.44
2010-11-29,3636.96
2010-11-26,3728.65
2010-11-25,3760.42
2010-11-24,3747.61
2010-11-23,3724.42
2010-11-22,3818.89
2010-11-19,3860.16
2010-11-18,3867.97
2010-11-17,3792.35
2010-11-16,3762.47
2010-11-15,3864.24
2010-11-12,3831.12
2010-11-11,3867.35
2010-11-10,3888.45
2010-11-09,3945.71
2010-11-08,3913.7
2010-11-05,3916.73
2010-11-04,3916.78
2010-11-03,3842.94
2010-11-02,3865.72
2010-11-01,3841.11
2010-10-29,3833.5
2010-10-28,3834.84
2010-10-27,3815.77
2010-10-26,3852.66
2010-10-25,3870.0
2010-10-22,3868.54
2010-10-21,3878.27
2010-10-20,3828.15
2010-10-19,3807.17
2010-10-18,3834.5
2010-10-15,3827.37
2010-10-14,3819.17
2010-10-13,3828.34
2010-10-12,3748.86
2010-10-11,3768.49
2010-10-08,3763.18
2010-10-07,3770.47
2010-10-06,3764.91
2010-10-05,3731.93
2010-10-04,3649.81
2010-10-01,3692.09
2010-09-30,3715.18
2010-09-29,3737.12
2010-09-28,3762.35
2010-09-27,3766.16
2010-09-24,3782.48
2010-09-23,3710.61
2010-09-22,3735.05
2010-09-21,3784.4
2010-09-20,3788.01
2010-09-17,3722.02
2010-09-16,3736.3
2010-09-15,3755.64
2010-09-14,3774.4
2010-09-13,3767.15
2010-09-10,3725.82
2010-09-09,3722.15
2010-09-08,3677.21
2010-09-07,3643.81
2010-09-06,3684.73
2010-09-03,3672.2
2010-09-02,3631.43
2010-09-01,3623.84
2010-08-31,3490.79
2010-08-30,3487.01
