Date,CURRFX.USDCHF.1
2013-05-06,0.93348
2013-05-03,0.929479
2013-05-02,0.930684
2013-05-01,0.936628
2013-04-30,0.940881
2013-04-29,0.943845
2013-04-26,0.945838
2013-04-25,0.94346
2013-04-24,0.936928
2013-04-23,0.933975
2013-04-22,0.933173
2013-04-19,0.929549
2013-04-18,0.926548
2013-04-17,0.928575
2013-04-16,0.928836
2013-04-15,0.928888
2013-04-12,0.931569
2013-04-11,0.932706
2013-04-10,0.934116
2013-04-09,0.934679
2013-04-08,0.938967
2013-04-05,0.94665
2013-04-04,0.947665
2013-04-03,0.94793
2013-04-02,0.950393
2013-04-01,0.950393
2013-03-29,0.951603
2013-03-28,0.950059
2013-03-27,0.946443
2013-03-26,0.941891
2013-03-25,0.942621
2013-03-22,0.945808
2013-03-21,0.946118
2013-03-20,0.945543
2013-03-19,0.942274
2013-03-18,0.943888
2013-03-15,0.950628
2013-03-14,0.948206
2013-03-13,0.948754
2013-03-12,0.950953
2013-03-11,0.949459
2013-03-08,0.945144
2013-03-07,0.942527
2013-03-06,0.941635
2013-03-05,0.942581
2013-03-04,0.938429
2013-03-01,0.931114
2013-02-28,0.931426
2013-02-27,0.93057
2013-02-26,0.929476
2013-02-25,0.929709
2013-02-22,0.927011
2013-02-21,0.922734
2013-02-20,0.923479
2013-02-19,0.922951
2013-02-18,0.921299
2013-02-15,0.919186
2013-02-14,0.918061
2013-02-13,0.918605
2013-02-12,0.917848
2013-02-11,0.915439
2013-02-08,0.911162
2013-02-07,0.909716
2013-02-06,0.909163
2013-02-05,0.908751
2013-02-04,0.909019
2013-02-01,0.913348
2013-01-31,0.920638
2013-01-30,0.92563
2013-01-29,0.927164
2013-01-28,0.92767
2013-01-25,0.92971
2013-01-24,0.92997
2013-01-23,0.93172
2013-01-22,0.933597
2013-01-21,0.933407
2013-01-18,0.931695
2013-01-17,0.928964
2013-01-16,0.921844
2013-01-15,0.914912
2013-01-14,0.917024
2013-01-11,0.923312
2013-01-10,0.924067
2013-01-09,0.923417
2013-01-08,0.925051
2013-01-07,0.923317
2013-01-04,0.917967
2013-01-03,0.913796
2013-01-02,0.914592
2013-01-01,0.914108
2012-12-31,0.913247
2012-12-28,0.913464
