Date,CURRFX.USDJPY.1
2010-11-05,80.8772
2010-11-04,80.8038
2010-11-03,80.6082
2010-11-02,80.4663
2010-11-01,80.6905
2010-10-29,81.4013
2010-10-28,81.5062
2010-10-27,80.9887
2010-10-26,80.9469
2010-10-25,81.2834
2010-10-22,81.1688
2010-10-21,81.3345
2010-10-20,81.4183
2010-10-19,81.2978
2010-10-18,81.3892
2010-10-15,81.4998
2010-10-14,81.8514
2010-10-13,81.9398
2010-10-12,81.9913
2010-10-11,82.1428
2010-10-08,82.6666
2010-10-07,83.1361
2010-10-06,83.3661
2010-10-05,83.314
2010-10-04,83.2993
2010-10-01,83.5086
2010-09-30,83.7947
2010-09-29,84.1157
2010-09-28,84.2264
2010-09-27,84.3093
2010-09-24,84.5196
2010-09-23,84.9233
2010-09-22,85.4979
2010-09-21,85.7581
2010-09-20,85.7627
2010-09-17,85.5403
2010-09-16,84.5758
2010-09-15,83.4641
2010-09-14,83.9711
2010-09-13,83.983
2010-09-10,83.7578
2010-09-09,83.797
2010-09-08,83.9896
2010-09-07,84.2472
2010-09-06,84.2597
2010-09-03,84.2382
2010-09-02,84.271
2010-09-01,84.4579
2010-08-31,84.9772
2010-08-30,85.0024
2010-08-27,84.5665
2010-08-26,84.4508
2010-08-25,84.7103
2010-08-24,85.398
2010-08-23,85.5543
2010-08-20,85.4316
2010-08-19,85.3894
2010-08-18,85.4635
2010-08-17,85.7909
2010-08-16,85.971
2010-08-13,85.4642
2010-08-12,85.4196
2010-08-11,85.7566
2010-08-10,85.6193
2010-08-09,85.6941
2010-08-06,85.9431
2010-08-05,85.8707
