Date,CURRFX.AUDUSD.1
2011-11-23,0.98795
2011-11-22,0.995249
2011-11-21,1.00259
2011-11-18,1.00827
2011-11-17,1.01455
2011-11-16,1.02093
2011-11-15,1.02673
2011-11-14,1.02231
2011-11-11,1.01966
2011-11-10,1.03068
2011-11-09,1.03464
2011-11-08,1.03604
2011-11-07,1.03512
2011-11-04,1.03281
2011-11-03,1.03738
2011-11-02,1.04804
2011-11-01,1.06342
2011-10-31,1.0651
2011-10-28,1.05029
2011-10-27,1.04119
2011-10-26,1.04374
2011-10-25,1.03888
2011-10-24,1.03109
2011-10-21,1.02432
2011-10-20,1.02474
2011-10-19,1.02263
2011-10-18,1.03047
2011-10-17,1.02754
2011-10-14,1.01212
2011-10-13,1.00183
2011-10-12,0.993567
2011-10-11,0.984296
2011-10-10,0.973671
2011-10-07,0.964531
2011-10-06,0.953706
2011-10-05,0.953657
2011-10-04,0.964125
2011-10-03,0.971256
2011-09-30,0.982553
2011-09-29,0.98839
2011-09-28,0.983705
2011-09-27,0.976839
2011-09-26,0.983537
2011-09-23,1.00254
2011-09-22,1.02348
2011-09-21,1.02394
2011-09-20,1.0286
2011-09-19,1.03251
2011-09-16,1.02668
2011-09-15,1.02863
2011-09-14,1.03378
2011-09-13,1.0392
2011-09-12,1.05213
2011-09-09,1.06067
2011-09-08,1.05689
2011-09-07,1.05473
2011-09-06,1.05978
2011-09-05,1.06661
2011-09-02,1.07007
2011-09-01,1.06769
2011-08-31,1.06465
2011-08-30,1.05998
2011-08-29,1.05312
2011-08-26,1.04681
2011-08-25,1.04793
2011-08-24,1.04475
2011-08-23,1.04135
2011-08-22,1.04249
2011-08-19,1.04817
2011-08-18,1.04942
2011-08-17,1.04525
2011-08-16,1.04046
2011-08-15,1.03128
2011-08-12,1.02674
2011-08-11,1.02498
2011-08-10,1.0234
2011-08-09,1.03876
2011-08-08,1.05169
2011-08-05,1.06738
2011-08-04,1.08005
2011-08-03,1.09424
2011-08-02,1.101
2011-08-01,1.10114
2011-07-29,1.10275
2011-07-28,1.0987
2011-07-27,1.08882
2011-07-26,1.08418
2011-07-25,1.08186
2011-07-22,1.07537
2011-07-21,1.07099
2011-07-20,1.06438
2011-07-19,1.06221
2011-07-18,1.0686
2011-07-15,1.07213
2011-07-14,1.06478
2011-07-13,1.06388
2011-07-12,1.07132
2011-07-11,1.07486
2011-07-08,1.07236
2011-07-07,1.06977
2011-07-06,1.07179
2011-07-05,1.07535
2011-07-04,1.07538
2011-07-01,1.06723
2011-06-30,1.0554
2011-06-29,1.0464
2011-06-28,1.04584
2011-06-27,1.05017
2011-06-24,1.05525
2011-06-23,1.0592
2011-06-22,1.05761
2011-06-21,1.05851
2011-06-20,1.05912
2011-06-17,1.05863
2011-06-16,1.06538
2011-06-15,1.06153
2011-06-14,1.05521
2011-06-13,1.05649
