Date,CURRFX.CADJPY.1
2013-03-10,93.1397
2013-03-09,92.2473
2013-03-08,91.2277
2013-03-07,90.8508
2013-03-06,90.9408
2013-03-05,90.9408
2013-03-04,90.7646
2013-03-03,90.7646
2013-03-02,90.1382
2013-03-01,89.8772
2013-02-28,89.5812
2013-02-27,90.449
2013-02-26,91.5531
2013-02-25,91.4481
2013-02-24,91.4481
2013-02-23,91.5401
2013-02-22,91.8989
2013-02-21,92.3956
2013-02-20,92.7908
2013-02-19,93.0908
2013-02-18,92.8167
2013-02-17,92.8167
2013-02-16,92.8691
2013-02-15,93.1736
2013-02-14,93.2493
2013-02-13,93.0926
2013-02-12,92.4824
2013-02-11,92.4661
2013-02-10,92.7057
2013-02-09,93.4009
2013-02-08,93.9188
2013-02-07,93.588
2013-02-06,92.9537
2013-02-05,93.0312
2013-02-04,92.8433
2013-02-03,92.8433
2013-02-02,91.7621
2013-02-01,90.9048
2013-01-31,90.6124
2013-01-30,90.1776
2013-01-29,90.2227
2013-01-28,90.3323
2013-01-27,90.3323
2013-01-26,89.895
2013-01-25,89.2047
2013-01-24,89.3146
2013-01-23,89.9903
2013-01-22,90.5506
2013-01-21,90.862
2013-01-20,90.862
2013-01-19,90.6762
2013-01-18,90.0108
2013-01-17,89.9199
2013-01-16,90.546
2013-01-15,90.7411
2013-01-14,90.548
2013-01-13,90.548
2013-01-12,90.0403
2013-01-11,89.0763
2013-01-10,88.6422
2013-01-09,88.805
2013-01-08,89.1632
2013-01-07,89.1581
2013-01-06,89.1581
2013-01-05,88.7305
2013-01-04,88.2775
2013-01-03,87.695
2013-01-02,86.8941
2013-01-01,86.4437
2012-12-31,86.1739
2012-12-30,86.3592
2012-12-29,86.5673
2012-12-28,86.133
2012-12-27,85.6419
2012-12-26,85.3678
2012-12-25,84.9967
2012-12-24,84.8503
2012-12-23,84.8503
2012-12-22,85.0195
2012-12-21,85.297
2012-12-20,85.4417
2012-12-19,85.235
2012-12-18,84.9839
2012-12-17,84.744
2012-12-16,84.8123
2012-12-15,84.8967
2012-12-14,84.5192
2012-12-13,83.8201
2012-12-12,83.4835
2012-12-11,83.4355
2012-12-10,83.355
2012-12-09,83.355
2012-12-08,83.1546
2012-12-07,82.9976
2012-12-06,82.7063
2012-12-05,82.6279
2012-12-04,82.8873
2012-12-03,82.9854
2012-12-02,82.9854
2012-12-01,82.9294
2012-11-30,82.6151
2012-11-29,82.5268
2012-11-28,82.7392
2012-11-27,82.8463
2012-11-26,82.9839
2012-11-25,82.8638
2012-11-24,82.704
2012-11-23,82.6184
2012-11-22,82.0762
2012-11-21,81.5587
2012-11-20,81.2881
2012-11-19,81.1407
2012-11-18,81.1407
2012-11-17,80.8877
2012-11-16,80.283
