Date,CURRFX.NZDCAD.1
2012-06-20,0.810929
2012-06-19,0.808139
2012-06-18,0.805125
2012-06-17,0.804483
2012-06-16,0.801754
2012-06-15,0.798788
2012-06-14,0.797515
2012-06-13,0.794931
2012-06-12,0.793045
2012-06-11,0.791704
2012-06-10,0.790611
2012-06-09,0.790234
2012-06-08,0.790376
2012-06-07,0.787468
2012-06-06,0.78561
2012-06-05,0.785641
2012-06-04,0.785437
2012-06-03,0.783412
2012-06-02,0.778599
2012-06-01,0.777298
2012-05-31,0.778786
2012-05-30,0.77974
2012-05-29,0.778815
2012-05-28,0.776221
2012-05-27,0.775993
2012-05-26,0.774113
2012-05-25,0.770264
2012-05-24,0.771355
2012-05-23,0.775827
2012-05-22,0.774125
2012-05-21,0.773287
2012-05-20,0.773287
2012-05-19,0.774177
2012-05-18,0.775168
2012-05-17,0.774791
2012-05-16,0.77862
2012-05-15,0.782182
2012-05-14,0.783618
2012-05-13,0.784047
2012-05-12,0.786397
2012-05-11,0.78704
2012-05-10,0.787168
2012-05-09,0.789127
2012-05-08,0.791306
2012-05-07,0.792374
2012-05-06,0.791845
2012-05-05,0.791496
2012-05-04,0.796047
2012-05-03,0.803037
2012-05-02,0.805583
2012-05-01,0.806655
2012-04-30,0.806361
2012-04-29,0.804995
2012-04-28,0.802512
2012-04-27,0.801665
2012-04-26,0.802742
2012-04-25,0.80619
2012-04-24,0.8105
2012-04-23,0.81131
2012-04-22,0.81131
2012-04-21,0.809462
2012-04-20,0.810061
2012-04-19,0.81272
2012-04-18,0.817345
2012-04-17,0.82107
2012-04-16,0.822661
2012-04-15,0.823283
2012-04-14,0.823456
2012-04-13,0.821273
2012-04-12,0.819055
2012-04-11,0.817221
2012-04-10,0.817137
2012-04-09,0.815559
2012-04-08,0.815559
2012-04-07,0.812699
2012-04-06,0.811573
2012-04-05,0.81221
2012-04-04,0.816132
2012-04-03,0.817724
2012-04-02,0.817489
2012-04-01,0.817339
2012-03-31,0.816559
2012-03-30,0.815313
2012-03-29,0.815812
2012-03-28,0.815782
2012-03-27,0.815752
2012-03-26,0.815159
2012-03-25,0.815159
2012-03-24,0.810668
2012-03-23,0.80738
2012-03-22,0.81068
2012-03-21,0.814491
2012-03-20,0.817753
2012-03-19,0.81754
2012-03-18,0.816637
2012-03-17,0.812387
2012-03-16,0.809974
2012-03-15,0.809974
2012-03-14,0.812757
2012-03-13,0.812051
2012-03-12,0.813839
2012-03-11,0.814669
2012-03-10,0.816459
2012-03-09,0.817142
2012-03-08,0.815687
2012-03-07,0.815674
2012-03-06,0.819367
2012-03-05,0.820361
2012-03-04,0.82164
2012-03-03,0.824727
2012-03-02,0.828842
2012-03-01,0.834999
2012-02-29,0.83637
2012-02-28,0.836352
2012-02-27,0.835565
2012-02-26,0.835535
2012-02-25,0.833621
2012-02-24,0.830113
2012-02-23,0.831229
2012-02-22,0.833343
2012-02-21,0.833089
2012-02-20,0.830866
2012-02-19,0.83107
2012-02-18,0.831595
2012-02-17,0.831861
2012-02-16,0.833395
2012-02-15,0.83226
2012-02-14,0.831195
2012-02-13,0.827763
2012-02-12,0.828126
2012-02-11,0.829691
2012-02-10,0.831774
2012-02-09,0.832108
2012-02-08,0.830432
2012-02-07,0.829322
2012-02-06,0.830337
2012-02-05,0.830865
2012-02-04,0.83186
2012-02-03,0.830915
2012-02-02,0.827481
2012-02-01,0.82432
2012-01-31,0.824248
2012-01-30,0.826136
2012-01-29,0.8253
2012-01-28,0.822751
2012-01-27,0.819894
2012-01-26,0.817875
2012-01-25,0.817699
2012-01-24,0.817674
2012-01-23,0.817137
2012-01-22,0.815911
2012-01-21,0.812593
2012-01-20,0.81221
2012-01-19,0.813479
2012-01-18,0.810362
2012-01-17,0.811267
2012-01-16,0.812973
2012-01-15,0.811449
2012-01-14,0.809149
2012-01-13,0.809407
2012-01-12,0.808228
2012-01-11,0.806964
2012-01-10,0.804256
2012-01-09,0.802778
2012-01-08,0.800967
2012-01-07,0.797087
2012-01-06,0.797331
2012-01-05,0.79759
2012-01-04,0.795019
2012-01-03,0.793917
