Date,CURRFX.EURCAD.1
2012-05-08,1.29855
2012-05-07,1.30026
2012-05-04,1.29813
2012-05-03,1.30336
2012-05-02,1.30494
2012-05-01,1.30079
2012-04-30,1.29975
2012-04-27,1.30095
2012-04-26,1.3027
2012-04-25,1.3058
2012-04-24,1.30959
2012-04-23,1.30754
2012-04-20,1.29997
2012-04-19,1.30112
2012-04-18,1.30628
2012-04-17,1.30577
2012-04-16,1.30979
2012-04-13,1.31443
2012-04-12,1.31261
2012-04-11,1.30719
2012-04-10,1.305
2012-04-09,1.30541
2012-04-06,1.30646
2012-04-05,1.31332
2012-04-04,1.32249
2012-04-03,1.32955
2012-04-02,1.33101
2012-03-30,1.32841
2012-03-29,1.32654
2012-03-28,1.32369
2012-03-27,1.3234
2012-03-26,1.32031
2012-03-23,1.31318
2012-03-22,1.31081
2012-03-21,1.30809
2012-03-20,1.30613
2012-03-19,1.30272
2012-03-16,1.29481
2012-03-15,1.29624
2012-03-14,1.30113
2012-03-13,1.30094
2012-03-12,1.30505
2012-03-09,1.31381
2012-03-08,1.31407
2012-03-07,1.3125
2012-03-06,1.3082
2012-03-05,1.30949
2012-03-02,1.32175
2012-03-01,1.33451
2012-02-29,1.34056
2012-02-28,1.34419
2012-02-27,1.33742
2012-02-24,1.32471
2012-02-23,1.31986
2012-02-22,1.31613
2012-02-21,1.31237
2012-02-20,1.30897
2012-02-17,1.30666
2012-02-16,1.31165
2012-02-15,1.31871
2012-02-14,1.32228
2012-02-13,1.32156
2012-02-10,1.32087
2012-02-09,1.31646
2012-02-08,1.30793
2012-02-07,1.30484
2012-02-06,1.30943
2012-02-03,1.31325
2012-02-02,1.31379
2012-02-01,1.31762
2012-01-31,1.32194
2012-01-30,1.32094
2012-01-27,1.31518
2012-01-26,1.31466
2012-01-25,1.3121
2012-01-24,1.30977
2012-01-23,1.30681
2012-01-20,1.3003
2012-01-19,1.29538
2012-01-18,1.29213
2012-01-17,1.29431
2012-01-16,1.29766
2012-01-13,1.29738
2012-01-12,1.29837
2012-01-11,1.30487
2012-01-10,1.30849
2012-01-09,1.30776
2012-01-06,1.31122
2012-01-05,1.31728
2012-01-04,1.31838
2012-01-03,1.32129
2012-01-02,1.32356
2011-12-30,1.32492
2011-12-29,1.3305
2011-12-28,1.33306
2011-12-27,1.33234
2011-12-26,1.33388
2011-12-23,1.34014
2011-12-22,1.34599
2011-12-21,1.34958
2011-12-20,1.35204
2011-12-19,1.35215
2011-12-16,1.34824
2011-12-15,1.3497
2011-12-14,1.35526
2011-12-13,1.36059
2011-12-12,1.35904
2011-12-09,1.35431
2011-12-08,1.35634
2011-12-07,1.36215
2011-12-06,1.365
2011-12-05,1.36724
2011-12-02,1.37135
2011-12-01,1.37408
2011-11-30,1.37866
2011-11-29,1.38389
2011-11-28,1.39088
2011-11-25,1.39898
2011-11-24,1.40098
2011-11-23,1.39925
2011-11-22,1.39241
2011-11-21,1.38639
2011-11-18,1.38103
2011-11-17,1.383
2011-11-16,1.38739
2011-11-15,1.39079
2011-11-14,1.38853
2011-11-11,1.38859
2011-11-10,1.39396
2011-11-09,1.39808
2011-11-08,1.40145
2011-11-07,1.4004
2011-11-04,1.39523
2011-11-03,1.39338
2011-11-02,1.39087
2011-11-01,1.39914
2011-10-31,1.40193
2011-10-28,1.40345
2011-10-27,1.40534
2011-10-26,1.39919
2011-10-25,1.39767
2011-10-24,1.39963
2011-10-21,1.39944
2011-10-20,1.39899
2011-10-19,1.40116
2011-10-18,1.40023
2011-10-17,1.40285
2011-10-14,1.40363
2011-10-13,1.40248
2011-10-12,1.40045
2011-10-11,1.39399
2011-10-10,1.39103
2011-10-07,1.39479
2011-10-06,1.39855
2011-10-05,1.39641
2011-10-04,1.40014
2011-10-03,1.40488
2011-09-30,1.3998
2011-09-29,1.39036
2011-09-28,1.3875
2011-09-27,1.3887
2011-09-26,1.38466
2011-09-23,1.37297
2011-09-22,1.36036
2011-09-21,1.35169
2011-09-20,1.34739
2011-09-19,1.35441
2011-09-16,1.36068
2011-09-15,1.35505
2011-09-14,1.35619
2011-09-13,1.35824
2011-09-12,1.36788
2011-09-09,1.38456
2011-09-08,1.39057
2011-09-07,1.39509
2011-09-06,1.39755
2011-09-05,1.40371
2011-09-02,1.40371
2011-09-01,1.41256
2011-08-31,1.41669
2011-08-30,1.42082
2011-08-29,1.42233
2011-08-26,1.42308
2011-08-25,1.42525
2011-08-24,1.42361
2011-08-23,1.42305
2011-08-22,1.42204
2011-08-19,1.41601
2011-08-18,1.41552
2011-08-17,1.41561
2011-08-16,1.41175
2011-08-15,1.40693
2011-08-12,1.40808
2011-08-11,1.41076
2011-08-10,1.41093
2011-08-09,1.40593
2011-08-08,1.39498
2011-08-05,1.37667
2011-08-04,1.36734
2011-08-03,1.36454
2011-08-02,1.37096
2011-08-01,1.36943
2011-07-29,1.36223
2011-07-28,1.36576
2011-07-27,1.36488
2011-07-26,1.36275
2011-07-25,1.35764
2011-07-22,1.3492
2011-07-21,1.34797
2011-07-20,1.35002
2011-07-19,1.34906
2011-07-18,1.35402
2011-07-15,1.35791
2011-07-14,1.35361
2011-07-13,1.35884
2011-07-12,1.36698
2011-07-11,1.37449
2011-07-08,1.38179
2011-07-07,1.38858
2011-07-06,1.3934
2011-07-05,1.39411
2011-07-04,1.39532
2011-07-01,1.40209
2011-06-30,1.40723
2011-06-29,1.40767
2011-06-28,1.40302
2011-06-27,1.39853
2011-06-24,1.39421
2011-06-23,1.40062
2011-06-22,1.4015
2011-06-21,1.40075
2011-06-20,1.39684
2011-06-17,1.39097
2011-06-16,1.39694
2011-06-15,1.40444
2011-06-14,1.40463
2011-06-13,1.41285
2011-06-10,1.4278
2011-06-09,1.43121
2011-06-08,1.43078
2011-06-07,1.43178
2011-06-06,1.42352
2011-06-03,1.40432
2011-06-02,1.3974
2011-06-01,1.39641
2011-05-31,1.39622
2011-05-30,1.39223
2011-05-27,1.38068
2011-05-26,1.37611
2011-05-25,1.3748
2011-05-24,1.37537
2011-05-23,1.38016
2011-05-20,1.38364
2011-05-19,1.38402
2011-05-18,1.37841
2011-05-17,1.37101
2011-05-16,1.36785
2011-05-13,1.37013
2011-05-12,1.37546
2011-05-11,1.38243
2011-05-10,1.38481
2011-05-09,1.39793
2011-05-06,1.41907
2011-05-05,1.41352
2011-05-04,1.4076
2011-05-03,1.40385
2011-05-02,1.40229
2011-04-29,1.4034
2011-04-28,1.39524
2011-04-27,1.39024
2011-04-26,1.38931
2011-04-25,1.38794
2011-04-22,1.38206
2011-04-21,1.37567
2011-04-20,1.37501
2011-04-19,1.38134
2011-04-18,1.38681
2011-04-15,1.39183
2011-04-14,1.39046
2011-04-13,1.38422
2011-04-12,1.38195
2011-04-11,1.37939
2011-04-08,1.37256
2011-04-07,1.37256
2011-04-06,1.37207
2011-04-05,1.37194
2011-04-04,1.37287
2011-04-01,1.37362
2011-03-31,1.3725
2011-03-30,1.37618
2011-03-29,1.3784
2011-03-28,1.38127
2011-03-25,1.38509
2011-03-24,1.38997
2011-03-23,1.39055
2011-03-22,1.39226
2011-03-21,1.39069
2011-03-18,1.37944
2011-03-17,1.37332
2011-03-16,1.36559
2011-03-15,1.35664
2011-03-14,1.35043
2011-03-11,1.34633
2011-03-10,1.35125
2011-03-09,1.35753
2011-03-08,1.36051
2011-03-07,1.35783
2011-03-04,1.34943
2011-03-03,1.34441
2011-03-02,1.34393
2011-03-01,1.34534
2011-02-28,1.34933
2011-02-25,1.35774
2011-02-24,1.35226
2011-02-23,1.34521
2011-02-22,1.34891
2011-02-21,1.3461
2011-02-18,1.3363
2011-02-17,1.33511
2011-02-16,1.3337
2011-02-15,1.33476
2011-02-14,1.34603
2011-02-11,1.35968
2011-02-10,1.35495
2011-02-09,1.34674
2011-02-08,1.34114
2011-02-07,1.34798
2011-02-04,1.36211
2011-02-03,1.3684
2011-02-02,1.36857
2011-02-01,1.36429
2011-01-31,1.36306
2011-01-28,1.36376
2011-01-27,1.36132
2011-01-26,1.3563
2011-01-25,1.353
2011-01-24,1.34863
2011-01-21,1.33981
2011-01-20,1.32825
2011-01-19,1.31749
2011-01-18,1.31955
2011-01-17,1.31702
2011-01-14,1.29658
2011-01-13,1.28586
2011-01-12,1.28456
2011-01-11,1.28328
2011-01-10,1.29089
2011-01-07,1.31117
2011-01-06,1.32411
2011-01-05,1.32642
2011-01-04,1.32693
2011-01-03,1.33079
2010-12-31,1.32096
2010-12-30,1.31778
2010-12-29,1.32381
2010-12-28,1.32384
2010-12-27,1.32452
2010-12-24,1.32864
2010-12-23,1.33419
2010-12-22,1.33596
2010-12-21,1.33463
2010-12-20,1.33393
2010-12-17,1.33352
2010-12-16,1.34434
2010-12-15,1.34527
2010-12-14,1.33619
2010-12-13,1.3364
2010-12-10,1.33904
2010-12-09,1.33946
2010-12-08,1.34021
2010-12-07,1.34253
2010-12-06,1.34123
2010-12-03,1.33271
2010-12-02,1.33428
2010-12-01,1.33907
2010-11-30,1.34837
2010-11-29,1.35017
2010-11-26,1.35208
2010-11-25,1.36837
2010-11-24,1.38474
2010-11-23,1.39144
2010-11-22,1.38948
2010-11-19,1.38461
2010-11-18,1.37887
2010-11-17,1.37743
2010-11-16,1.38161
2010-11-15,1.38235
2010-11-12,1.37864
2010-11-11,1.38613
2010-11-10,1.39476
2010-11-09,1.40073
2010-11-08,1.4113
2010-11-05,1.42202
2010-11-04,1.41448
2010-11-03,1.41483
2010-11-02,1.41978
2010-11-01,1.42151
2010-10-29,1.4204
2010-10-28,1.42063
2010-10-27,1.42414
2010-10-26,1.4296
2010-10-25,1.43065
2010-10-22,1.42744
2010-10-21,1.42342
2010-10-20,1.41963
2010-10-19,1.41537
2010-10-18,1.41175
2010-10-15,1.40804
2010-10-14,1.40594
2010-10-13,1.40594
2010-10-12,1.40936
2010-10-11,1.41083
2010-10-08,1.41008
2010-10-07,1.40538
2010-10-06,1.40373
2010-10-05,1.40271
2010-10-04,1.40542
2010-10-01,1.40265
2010-09-30,1.3976
2010-09-29,1.38827
2010-09-28,1.38127
2010-09-27,1.38044
2010-09-24,1.37565
