Date,CURRFX.EURCHF.1
2012-01-25,1.20744
2012-01-24,1.20795
2012-01-23,1.20829
2012-01-20,1.20854
2012-01-19,1.20943
2012-01-18,1.20919
2012-01-17,1.20782
2012-01-16,1.20896
2012-01-13,1.21187
2012-01-12,1.21246
2012-01-11,1.21304
2012-01-10,1.21454
2012-01-09,1.21629
2012-01-06,1.2182
2012-01-05,1.21776
2012-01-04,1.21686
2012-01-03,1.21623
2012-01-02,1.21759
2011-12-30,1.21934
2011-12-29,1.22093
2011-12-28,1.22222
2011-12-27,1.22264
2011-12-26,1.22238
2011-12-23,1.221
2011-12-22,1.21916
2011-12-21,1.21892
2011-12-20,1.22023
2011-12-19,1.22507
2011-12-16,1.23207
2011-12-15,1.23395
2011-12-14,1.23536
2011-12-13,1.23584
2011-12-12,1.23656
2011-12-09,1.23872
2011-12-08,1.23946
2011-12-07,1.23687
2011-12-06,1.23535
2011-12-05,1.23219
2011-12-02,1.22818
2011-12-01,1.22728
2011-11-30,1.22994
2011-11-29,1.23224
2011-11-28,1.2306
2011-11-25,1.22915
2011-11-24,1.23311
2011-11-23,1.23718
2011-11-22,1.23903
2011-11-21,1.23966
2011-11-18,1.23922
2011-11-17,1.23895
2011-11-16,1.23882
2011-11-15,1.23785
2011-11-14,1.23621
2011-11-11,1.23366
2011-11-10,1.23711
2011-11-09,1.23726
2011-11-08,1.22829
2011-11-07,1.21835
2011-11-04,1.2149
2011-11-03,1.21605
2011-11-02,1.21765
2011-11-01,1.2201
2011-10-31,1.22227
2011-10-28,1.22333
2011-10-27,1.22305
2011-10-26,1.22553
2011-10-25,1.22643
2011-10-24,1.2301
2011-10-21,1.23851
2011-10-20,1.23819
2011-10-19,1.23574
2011-10-18,1.23736
2011-10-17,1.23704
2011-10-14,1.23633
2011-10-13,1.23679
2011-10-12,1.23638
2011-10-11,1.23881
2011-10-10,1.23832
2011-10-07,1.23146
2011-10-06,1.22346
2011-10-05,1.21631
2011-10-04,1.21493
2011-10-03,1.21719
2011-09-30,1.22002
2011-09-29,1.22002
2011-09-28,1.22052
2011-09-27,1.22152
2011-09-26,1.22279
2011-09-23,1.22269
2011-09-22,1.21659
2011-09-21,1.20824
2011-09-20,1.20695
2011-09-19,1.20737
2011-09-16,1.20496
2011-09-15,1.20391
2011-09-14,1.20457
2011-09-13,1.20605
2011-09-12,1.20916
2011-09-09,1.21006
2011-09-08,1.18973
2011-09-07,1.14135
2011-09-06,1.11508
2011-09-05,1.12975
2011-09-02,1.15599
2011-09-01,1.17551
2011-08-31,1.18226
2011-08-30,1.17609
2011-08-29,1.16021
2011-08-26,1.14468
2011-08-25,1.14087
2011-08-24,1.13545
2011-08-23,1.13213
2011-08-22,1.13384
2011-08-19,1.13996
2011-08-18,1.13791
2011-08-17,1.13118
2011-08-16,1.12235
2011-08-15,1.08723
2011-08-12,1.04746
2011-08-11,1.04569
2011-08-10,1.06816
2011-08-09,1.08807
2011-08-08,1.09743
2011-08-05,1.0989
2011-08-04,1.09975
2011-08-03,1.1152
2011-08-02,1.13099
2011-08-01,1.1382
