Date,YAHOO.INDEX_AORD.4
2013-01-18,4794.7
2013-01-17,4779.7
2013-01-16,4765.0
2013-01-15,4743.0
2013-01-14,4745.7
2013-01-11,4733.8
2013-01-10,4745.2
2013-01-09,4730.1
2013-01-08,4712.3
2013-01-07,4738.1
2013-01-04,4742.9
2013-01-03,4761.4
2013-01-02,4722.9
2012-12-31,4664.6
2012-12-28,4685.3
2012-12-27,4661.4
2012-12-24,4645.6
2012-12-21,4635.2
2012-12-20,4646.6
2012-12-19,4633.2
2012-12-18,4610.5
2012-12-17,4588.0
2012-12-14,4595.1
2012-12-13,4592.9
2012-12-12,4591.8
2012-12-11,4581.3
2012-12-10,4562.4
2012-12-07,4555.9
2012-12-06,4515.7
2012-12-05,4528.0
2012-12-04,4511.8
2012-12-03,4540.0
2012-11-30,4518.0
2012-11-29,4490.1
2012-11-28,4462.6
2012-11-27,4473.4
2012-11-26,4443.5
2012-11-23,4431.5
2012-11-22,4432.4
2012-11-21,4390.7
2012-11-20,4407.5
2012-11-19,4382.6
2012-11-16,4360.1
2012-11-15,4370.6
2012-11-14,4410.7
2012-11-13,4404.2
2012-11-12,4469.9
2012-11-09,4482.5
2012-11-08,4502.2
2012-11-07,4534.2
2012-11-06,4503.7
2012-11-05,4493.6
2012-11-02,4483.3
2012-11-01,4479.9
2012-10-31,4535.4
2012-10-30,4505.7
2012-10-29,4499.4
2012-10-26,4496.3
2012-10-25,4533.5
2012-10-24,4530.6
2012-10-23,4568.0
2012-10-22,4564.6
2012-10-19,4593.5
2012-10-18,4580.9
2012-10-17,4550.9
2012-10-16,4513.9
2012-10-15,4505.5
2012-10-12,4510.1
2012-10-11,4505.2
2012-10-10,4511.9
2012-10-09,4526.6
2012-10-08,4502.0
2012-10-05,4513.8
2012-10-04,4472.6
2012-10-03,4458.8
2012-10-02,4451.9
2012-10-01,4408.3
2012-09-28,4406.3
2012-09-27,4402.8
2012-09-26,4382.5
2012-09-25,4395.5
2012-09-24,4409.2
2012-09-21,4430.8
2012-09-20,4419.8
2012-09-19,4440.4
2012-09-18,4417.8
2012-09-17,4421.8
2012-09-14,4410.2
2012-09-13,4359.8
2012-09-12,4383.1
2012-09-11,4348.3
2012-09-10,4358.0
2012-09-07,4348.8
2012-09-06,4331.6
2012-09-05,4297.7
2012-09-04,4325.5
2012-09-03,4351.6
2012-08-31,4339.0
2012-08-30,4340.2
2012-08-29,4381.5
2012-08-28,4387.0
2012-08-27,4372.9
2012-08-24,4376.5
2012-08-23,4411.8
2012-08-22,4403.3
2012-08-21,4410.8
2012-08-20,4391.9
2012-08-17,4393.8
2012-08-16,4353.5
2012-08-15,4307.0
2012-08-14,4317.4
2012-08-13,4309.5
2012-08-10,4302.8
2012-08-09,4330.1
2012-08-08,4332.9
2012-08-07,4311.4
2012-08-06,4292.9
2012-08-03,4243.0
2012-08-02,4290.1
2012-08-01,4282.7
2012-07-31,4289.4
2012-07-30,4266.9
2012-07-27,4234.4
2012-07-26,4173.8
2012-07-25,4151.4
2012-07-24,4161.2
2012-07-23,4159.2
2012-07-20,4230.6
2012-07-19,4236.4
2012-07-18,4156.4
2012-07-17,4175.3
2012-07-16,4143.2
2012-07-13,4118.3
2012-07-12,4106.0
2012-07-11,4135.0
2012-07-10,4137.9
2012-07-09,4159.8
2012-07-06,4199.0
2012-07-05,4209.9
2012-07-04,4213.8
2012-07-03,4166.4
2012-07-02,4172.5
2012-06-29,4135.5
2012-06-28,4085.6
2012-06-27,4084.0
2012-06-26,4056.3
2012-06-25,4072.0
2012-06-22,4093.8
2012-06-21,4133.7
2012-06-20,4176.8
2012-06-19,4167.4
2012-06-18,4183.9
2012-06-15,4107.0
