Date,CURRFX.EURUSD.1
2012-08-01,1.22794
2012-07-31,1.22911
2012-07-30,1.22779
2012-07-27,1.21646
2012-07-26,1.21048
2012-07-25,1.21058
2012-07-24,1.21296
2012-07-23,1.22009
2012-07-20,1.22778
2012-07-19,1.22738
2012-07-18,1.22621
2012-07-17,1.22433
2012-07-16,1.22369
2012-07-13,1.22316
2012-07-12,1.22684
2012-07-11,1.22892
2012-07-10,1.22891
2012-07-09,1.23583
2012-07-06,1.25083
2012-07-05,1.25791
2012-07-04,1.26018
2012-07-03,1.26359
2012-07-02,1.25902
2012-06-29,1.24693
2012-06-28,1.24894
2012-06-27,1.25033
2012-06-26,1.25321
2012-06-25,1.25972
2012-06-22,1.26614
2012-06-21,1.26663
2012-06-20,1.26375
2012-06-19,1.26467
2012-06-18,1.26178
2012-06-15,1.25616
2012-06-14,1.25159
2012-06-13,1.25232
2012-06-12,1.25658
2012-06-11,1.25542
2012-06-08,1.25493
2012-06-07,1.24913
2012-06-06,1.24605
2012-06-05,1.2433
2012-06-04,1.24062
2012-06-01,1.24036
2012-05-31,1.24713
2012-05-30,1.25405
2012-05-29,1.25556
2012-05-28,1.25457
2012-05-25,1.2595
2012-05-24,1.26887
2012-05-23,1.27722
2012-05-22,1.27756
2012-05-21,1.27522
2012-05-18,1.27212
2012-05-17,1.27573
2012-05-16,1.28327
2012-05-15,1.2887
2012-05-14,1.29297
2012-05-11,1.29561
2012-05-10,1.29909
2012-05-09,1.3023
2012-05-08,1.30394
2012-05-07,1.31038
2012-05-04,1.31618
2012-05-03,1.32089
2012-05-02,1.32414
2012-05-01,1.32416
2012-04-30,1.32436
2012-04-27,1.32196
2012-04-26,1.31918
2012-04-25,1.31677
2012-04-24,1.31807
2012-04-23,1.31776
2012-04-20,1.31174
2012-04-19,1.3117
2012-04-18,1.30996
2012-04-17,1.30626
2012-04-16,1.31031
2012-04-13,1.31302
2012-04-12,1.31037
2012-04-11,1.30923
2012-04-10,1.3086
2012-04-09,1.30996
2012-04-06,1.31327
2012-04-05,1.32309
2012-04-04,1.3328
2012-04-03,1.33403
2012-04-02,1.33274
2012-03-30,1.33103
2012-03-29,1.33327
2012-03-28,1.33217
2012-03-27,1.3279
2012-03-26,1.32422
2012-03-23,1.3215
2012-03-22,1.32346
2012-03-21,1.32091
2012-03-20,1.31816
2012-03-19,1.3127
2012-03-16,1.30526
2012-03-15,1.30839
2012-03-14,1.3126
2012-03-13,1.31195
2012-03-12,1.31525
2012-03-09,1.31782
2012-03-08,1.31483
2012-03-07,1.31833
2012-03-06,1.32013
2012-03-05,1.32433
2012-03-02,1.33682
2012-03-01,1.34352
2012-02-29,1.34306
2012-02-28,1.34378
2012-02-27,1.33874
2012-02-24,1.32659
2012-02-23,1.32392
2012-02-22,1.32376
2012-02-21,1.32003
2012-02-20,1.31095
2012-02-17,1.30722
2012-02-16,1.31381
2012-02-15,1.31859
2012-02-14,1.32226
2012-02-13,1.32262
2012-02-10,1.3269
2012-02-09,1.3222
2012-02-08,1.31316
2012-02-07,1.31131
2012-02-06,1.3153
2012-02-03,1.31414
2012-02-02,1.31298
2012-02-01,1.31508
2012-01-31,1.31776
2012-01-30,1.31823
2012-01-27,1.30823
2012-01-26,1.30134
2012-01-25,1.29858
2012-01-24,1.29409
2012-01-23,1.29097
2012-01-20,1.28524
2012-01-19,1.27686
2012-01-18,1.27038
2012-01-17,1.26644
2012-01-16,1.27058
2012-01-13,1.27455
2012-01-12,1.27518
2012-01-11,1.27602
2012-01-10,1.27226
2012-01-09,1.27714
2012-01-06,1.29191
2012-01-05,1.30034
2012-01-04,1.29781
2012-01-03,1.2946
2012-01-02,1.29453
2011-12-30,1.29648
2011-12-29,1.30486
2011-12-28,1.30657
2011-12-27,1.30546
2011-12-26,1.30467
2011-12-23,1.30682
2011-12-22,1.30741
2011-12-21,1.3035
2011-12-20,1.30271
2011-12-19,1.30263
2011-12-16,1.30049
2011-12-15,1.30735
2011-12-14,1.32115
2011-12-13,1.33248
2011-12-12,1.33843
