Date,CURRFX.GBPCAD.1
2012-12-31,1.60778
2012-12-28,1.60185
2012-12-27,1.59988
2012-12-26,1.60119
2012-12-25,1.60523
2012-12-24,1.60691
2012-12-21,1.60666
2012-12-20,1.60169
2012-12-19,1.59625
2012-12-18,1.59531
2012-12-17,1.59202
2012-12-14,1.58835
2012-12-13,1.58873
2012-12-12,1.58643
2012-12-11,1.58497
2012-12-10,1.58935
2012-12-07,1.59625
2012-12-06,1.59883
2012-12-05,1.59852
2012-12-04,1.59386
2012-12-03,1.59123
2012-11-30,1.59016
2012-11-29,1.59127
2012-11-28,1.59159
2012-11-27,1.59144
2012-11-26,1.59095
2012-11-23,1.5894
2012-11-22,1.58762
2012-11-21,1.58732
2012-11-20,1.58928
2012-11-19,1.58958
2012-11-16,1.5892
2012-11-15,1.58957
2012-11-14,1.58886
2012-11-13,1.58969
2012-11-12,1.59258
2012-11-09,1.59104
2012-11-08,1.58843
2012-11-07,1.59113
2012-11-06,1.59415
2012-11-05,1.60155
2012-11-02,1.61104
2012-11-01,1.60792
2012-10-31,1.6059
2012-10-30,1.60535
2012-10-29,1.60277
2012-10-26,1.59321
2012-10-25,1.58674
2012-10-24,1.58956
2012-10-23,1.59151
2012-10-22,1.58673
2012-10-19,1.58314
2012-10-18,1.58619
2012-10-17,1.57888
2012-10-16,1.57361
2012-10-15,1.57342
2012-10-12,1.56892
2012-10-11,1.56586
2012-10-10,1.56717
2012-10-09,1.57427
2012-10-08,1.58254
2012-10-05,1.58824
2012-10-04,1.58755
2012-10-03,1.58642
2012-10-02,1.58805
2012-10-01,1.59105
2012-09-28,1.59114
2012-09-27,1.58872
2012-09-26,1.58822
2012-09-25,1.58642
2012-09-24,1.58434
2012-09-21,1.58315
2012-09-20,1.58251
2012-09-19,1.5812
2012-09-18,1.57705
2012-09-17,1.5742
2012-09-14,1.56954
2012-09-13,1.56496
2012-09-12,1.56283
2012-09-11,1.56518
2012-09-10,1.56874
2012-09-07,1.57083
2012-09-06,1.56819
2012-09-05,1.56556
2012-09-04,1.56556
2012-09-03,1.5662
2012-08-31,1.56663
2012-08-30,1.56345
2012-08-29,1.56364
2012-08-28,1.56709
2012-08-27,1.5706
2012-08-24,1.57113
2012-08-23,1.56207
2012-08-22,1.5539
2012-08-21,1.55252
2012-08-20,1.55268
2012-08-17,1.55284
2012-08-16,1.55536
2012-08-15,1.55631
2012-08-14,1.55516
2012-08-13,1.55484
2012-08-10,1.55586
2012-08-09,1.55841
2012-08-08,1.56064
2012-08-07,1.56332
2012-08-06,1.56456
2012-08-03,1.56391
2012-08-02,1.56902
2012-08-01,1.57381
2012-07-31,1.57795
2012-07-30,1.57884
2012-07-27,1.57799
2012-07-26,1.58058
2012-07-25,1.58111
2012-07-24,1.58124
2012-07-23,1.58222
2012-07-20,1.58235
2012-07-19,1.58415
2012-07-18,1.58417
2012-07-17,1.58057
2012-07-16,1.57902
2012-07-13,1.58152
2012-07-12,1.58424
2012-07-11,1.58173
2012-07-10,1.57994
2012-07-09,1.57842
2012-07-06,1.57988
2012-07-05,1.58774
2012-07-04,1.59373
2012-07-03,1.59608
2012-07-02,1.59728
2012-06-29,1.59896
2012-06-28,1.60086
2012-06-27,1.60186
2012-06-26,1.5993
2012-06-25,1.59918
2012-06-22,1.60209
2012-06-21,1.60206
2012-06-20,1.60319
2012-06-19,1.60488
2012-06-18,1.6013
2012-06-15,1.59513
2012-06-14,1.5973
2012-06-13,1.59477
2012-06-12,1.59042
2012-06-11,1.59007
2012-06-08,1.59364
2012-06-07,1.59608
2012-06-06,1.59849
2012-06-05,1.60022
2012-06-04,1.59685
2012-06-01,1.59543
2012-05-31,1.60104
2012-05-30,1.60571
2012-05-29,1.60972
2012-05-28,1.61104
2012-05-25,1.60919
2012-05-24,1.6092
2012-05-23,1.61015
2012-05-22,1.61484
2012-05-21,1.61421
2012-05-18,1.60932
2012-05-17,1.61013
2012-05-16,1.61073
2012-05-15,1.60977
2012-05-14,1.61078
2012-05-11,1.61612
2012-05-10,1.61355
2012-05-09,1.60951
2012-05-08,1.60852
2012-05-07,1.60383
2012-05-04,1.59717
2012-05-03,1.59982
2012-05-02,1.60032
2012-05-01,1.59746
2012-04-30,1.59321
2012-04-27,1.59081
2012-04-26,1.59343
2012-04-25,1.5991
2012-04-24,1.60135
2012-04-23,1.59679
2012-04-20,1.58695
2012-04-19,1.58226
2012-04-18,1.58482
2012-04-17,1.58451
2012-04-16,1.58749
2012-04-13,1.5938
2012-04-12,1.59156
2012-04-11,1.58528
2012-04-10,1.58315
2012-04-09,1.5814
2012-04-06,1.57902
2012-04-05,1.58108
2012-04-04,1.58868
2012-04-03,1.59601
2012-04-02,1.59516
2012-03-30,1.58789
2012-03-29,1.58566
2012-03-28,1.58349
2012-03-27,1.58304
2012-03-26,1.58091
2012-03-23,1.575
2012-03-22,1.57157
2012-03-21,1.57097
2012-03-20,1.57076
2012-03-19,1.56574
2012-03-16,1.5554
2012-03-15,1.55356
2012-03-14,1.55252
2012-03-13,1.55306
2012-03-12,1.55979
2012-03-09,1.5714
2012-03-08,1.57498
2012-03-07,1.57498
2012-03-06,1.56923
2012-03-05,1.56902
2012-03-02,1.57564
2012-03-01,1.57946
2012-02-29,1.58264
2012-02-28,1.58691
2012-02-27,1.57946
2012-02-24,1.56832
2012-02-23,1.57196
2012-02-22,1.57454
2012-02-21,1.57593
2012-02-20,1.5759
2012-02-17,1.56937
2012-02-16,1.56802
2012-02-15,1.57418
2012-02-14,1.57714
2012-02-13,1.57714
2012-02-10,1.57765
2012-02-09,1.57919
2012-02-08,1.57547
2012-02-07,1.57187
2012-02-06,1.57467
2012-02-03,1.58042
2012-02-02,1.57822
2012-02-01,1.57573
2012-01-31,1.57573
2012-01-30,1.57377
2012-01-27,1.5731
2012-01-26,1.57497
2012-01-25,1.57273
2012-01-24,1.5752
2012-01-23,1.57163
2012-01-20,1.55981
2012-01-19,1.55869
2012-01-18,1.56008
2012-01-17,1.56474
2012-01-16,1.56497
2012-01-13,1.56374
2012-01-12,1.57184
2012-01-11,1.58062
2012-01-10,1.58667
2012-01-09,1.58433
2012-01-06,1.58158
2012-01-05,1.58138
2012-01-04,1.57952
2012-01-03,1.58375
2012-01-02,1.58432
2011-12-30,1.58357
2011-12-29,1.59351
2011-12-28,1.59542
2011-12-27,1.59295
2011-12-26,1.59714
2011-12-23,1.60819
2011-12-22,1.61096
2011-12-21,1.61076
2011-12-20,1.611
2011-12-19,1.61102
2011-12-16,1.60499
2011-12-15,1.60249
2011-12-14,1.59942
2011-12-13,1.59635
2011-12-12,1.59171
2011-12-09,1.58446
2011-12-08,1.58194
2011-12-07,1.58815
2011-12-06,1.58932
2011-12-05,1.59303
2011-12-02,1.60115
2011-12-01,1.60574
2011-11-30,1.60727
2011-11-29,1.6124
2011-11-28,1.6195
2011-11-25,1.62492
2011-11-24,1.62441
2011-11-23,1.62315
2011-11-22,1.62274
2011-11-21,1.62009
2011-11-18,1.61403
2011-11-17,1.61695
2011-11-16,1.62073
2011-11-15,1.62336
2011-11-14,1.62478
2011-11-11,1.62699
2011-11-10,1.62736
2011-11-09,1.62973
2011-11-08,1.63136
2011-11-07,1.62749
2011-11-04,1.62088
2011-11-03,1.62034
2011-11-02,1.60877
2011-11-01,1.60018
2011-10-31,1.59905
2011-10-28,1.60678
2011-10-27,1.61569
2011-10-26,1.60816
2011-10-25,1.60598
2011-10-24,1.60604
2011-10-21,1.60256
2011-10-20,1.60117
2011-10-19,1.60372
2011-10-18,1.59825
2011-10-17,1.60081
2011-10-14,1.60386
2011-10-13,1.60447
2011-10-12,1.60944
2011-10-11,1.61353
2011-10-10,1.61318
2011-10-07,1.61281
2011-10-06,1.62543
2011-10-05,1.62815
2011-10-04,1.63125
2011-10-03,1.62766
2011-09-30,1.60879
2011-09-29,1.59871
2011-09-28,1.59659
2011-09-27,1.59515
2011-09-26,1.58298
2011-09-23,1.5688
2011-09-22,1.5596
2011-09-21,1.55351
2011-09-20,1.54628
2011-09-19,1.55068
2011-09-16,1.56152
2011-09-15,1.56409
2011-09-14,1.57365
2011-09-13,1.58138
2011-09-12,1.58005
2011-09-09,1.5761
2011-09-08,1.58319
2011-09-07,1.59239
2011-09-06,1.59582
2011-09-05,1.59243
2011-09-02,1.58815
2011-09-01,1.59571
2011-08-31,1.6007
2011-08-30,1.60445
2011-08-29,1.60859
2011-08-26,1.61832
2011-08-25,1.62828
2011-08-24,1.63027
2011-08-23,1.62939
2011-08-22,1.62877
2011-08-19,1.62301
2011-08-18,1.61463
2011-08-17,1.61042
2011-08-16,1.60888
2011-08-15,1.60524
2011-08-12,1.60138
2011-08-11,1.60704
2011-08-10,1.6178
2011-08-09,1.61314
2011-08-08,1.60049
2011-08-05,1.57934
2011-08-04,1.56687
2011-08-03,1.56099
2011-08-02,1.565
2011-08-01,1.56172
2011-07-29,1.54934
2011-07-28,1.5469
2011-07-27,1.54498
2011-07-26,1.54561
2011-07-25,1.54057
2011-07-22,1.53231
2011-07-21,1.53325
2011-07-20,1.53919
2011-07-19,1.54005
2011-07-18,1.54159
2011-07-15,1.54367
2011-07-14,1.5386
2011-07-13,1.5409
2011-07-12,1.543
2011-07-11,1.54244
2011-07-08,1.54155
2011-07-07,1.5449
2011-07-06,1.5449
2011-07-05,1.54262
2011-07-04,1.54485
2011-07-01,1.55649
2011-06-30,1.56829
2011-06-29,1.57578
2011-06-28,1.57758
2011-06-27,1.57224
2011-06-24,1.56676
2011-06-23,1.57709
2011-06-22,1.58465
2011-06-21,1.58659
2011-06-20,1.58624
2011-06-17,1.58546
2011-06-16,1.588
2011-06-15,1.59349
2011-06-14,1.59094
2011-06-13,1.59539
2011-06-10,1.60393
2011-06-09,1.60352
2011-06-08,1.604
2011-06-07,1.60674
2011-06-06,1.6035
2011-06-03,1.59637
2011-06-02,1.59676
2011-06-01,1.605
2011-05-31,1.61017
2011-05-30,1.60606
2011-05-27,1.59271
2011-05-26,1.58236
2011-05-25,1.57784
2011-05-24,1.57975
2011-05-23,1.57546
2011-05-20,1.57034
2011-05-19,1.57786
2011-05-18,1.57858
2011-05-17,1.5718
2011-05-16,1.57007
2011-05-13,1.57082
2011-05-12,1.57068
2011-05-11,1.57602
2011-05-10,1.57953
2011-05-09,1.58315
2011-05-06,1.58127
2011-05-05,1.57468
2011-05-04,1.57705
2011-05-03,1.58114
2011-05-02,1.58015
2011-04-29,1.57883
2011-04-28,1.57249
2011-04-27,1.57184
2011-04-26,1.57428
2011-04-25,1.57256
2011-04-22,1.56473
2011-04-21,1.56249
2011-04-20,1.5664
2011-04-19,1.5673
2011-04-18,1.56759
2011-04-15,1.56849
2011-04-14,1.56419
2011-04-13,1.5634
2011-04-12,1.56455
2011-04-11,1.56555
2011-04-08,1.56681
2011-04-07,1.56679
2011-04-06,1.56172
2011-04-05,1.55476
2011-04-04,1.55531
