Date,CURRFX.EURGBP.1
2012-10-01,0.79542
2012-09-28,0.79544
2012-09-27,0.796294
2012-09-26,0.797174
2012-09-25,0.7985
2012-09-24,0.800391
2012-09-21,0.802315
2012-09-20,0.804182
2012-09-19,0.806181
2012-09-18,0.80861
2012-09-17,0.806397
2012-09-14,0.801321
2012-09-13,0.799911
2012-09-12,0.798944
2012-09-11,0.799692
2012-09-10,0.797748
2012-09-07,0.792151
2012-09-06,0.791566
2012-09-05,0.792495
2012-09-04,0.792486
2012-09-03,0.792511
2012-08-31,0.79237
2012-08-30,0.792502
2012-08-29,0.792502
2012-08-28,0.791551
2012-08-27,0.790921
2012-08-24,0.790003
2012-08-23,0.78889
2012-08-22,0.786997
2012-08-21,0.785737
2012-08-20,0.785084
2012-08-17,0.784383
2012-08-16,0.785629
2012-08-15,0.786173
2012-08-14,0.784579
2012-08-13,0.785356
2012-08-10,0.789603
2012-08-09,0.792704
2012-08-08,0.794247
2012-08-07,0.793254
2012-08-06,0.790138
2012-08-03,0.78677
2012-08-02,0.784993
2012-08-01,0.782214
2012-07-31,0.781734
2012-07-30,0.78285
2012-07-27,0.782785
2012-07-26,0.780744
2012-07-25,0.77961
2012-07-24,0.778746
2012-07-23,0.779978
2012-07-20,0.783796
2012-07-19,0.784886
2012-07-18,0.785273
2012-07-17,0.78581
2012-07-16,0.787736
2012-07-13,0.789507
2012-07-12,0.790319
2012-07-11,0.792444
2012-07-10,0.793165
2012-07-09,0.796362
2012-07-06,0.80208
2012-07-05,0.803144
2012-07-04,0.803412
2012-07-03,0.805403
2012-07-02,0.804413
2012-06-29,0.800839
2012-06-28,0.800424
2012-06-27,0.802012
2012-06-26,0.804739
2012-06-25,0.806605
2012-06-22,0.806075
2012-06-21,0.806075
2012-06-20,0.80544
2012-06-19,0.805867
2012-06-18,0.806833
2012-06-15,0.808717
2012-06-14,0.805373
2012-06-13,0.806809
2012-06-12,0.809825
2012-06-11,0.810065
2012-06-08,0.810229
2012-06-07,0.810221
2012-06-06,0.810575
2012-06-05,0.809261
2012-06-04,0.806061
2012-06-01,0.799967
2012-05-31,0.799004
2012-05-30,0.80005
2012-05-29,0.800397
2012-05-28,0.800247
2012-05-25,0.802235
2012-05-24,0.805359
2012-05-23,0.808125
2012-05-22,0.807848
2012-05-21,0.805215
2012-05-18,0.799968
2012-05-17,0.797765
2012-05-16,0.798686
2012-05-15,0.80168
2012-05-14,0.803205
2012-05-11,0.802879
2012-05-10,0.804606
2012-05-09,0.807497
2012-05-08,0.807497
2012-05-07,0.810799
2012-05-04,0.812792
2012-05-03,0.814717
2012-05-02,0.81543
2012-05-01,0.814284
2012-04-30,0.81589
2012-04-27,0.817859
2012-04-26,0.817652
2012-04-25,0.816633
2012-04-24,0.817984
2012-04-23,0.819089
2012-04-20,0.81926
2012-04-19,0.822489
2012-04-18,0.824295
2012-04-17,0.824074
2012-04-16,0.824983
2012-04-13,0.824761
2012-04-12,0.824855
2012-04-11,0.824632
2012-04-10,0.824334
2012-04-09,0.825406
2012-04-06,0.82728
2012-04-05,0.830672
2012-04-04,0.832637
2012-04-03,0.832737
2012-04-02,0.834197
2012-03-30,0.836654
2012-03-29,0.836666
2012-03-28,0.835974
2012-03-27,0.835974
2012-03-26,0.835057
2012-03-23,0.833827
2012-03-22,0.834122
2012-03-21,0.832689
2012-03-20,0.831477
2012-03-19,0.832084
2012-03-16,0.832573
2012-03-15,0.834309
2012-03-14,0.838123
2012-03-13,0.837713
2012-03-12,0.837043
2012-03-09,0.836166
2012-03-08,0.83443
2012-03-07,0.833481
2012-03-06,0.833729
2012-03-05,0.834679
2012-03-02,0.838975
2012-03-01,0.845029
2012-02-29,0.847189
2012-02-28,0.846932
2012-02-27,0.847066
2012-02-24,0.844615
2012-02-23,0.839715
2012-02-22,0.835888
2012-02-21,0.832649
2012-02-20,0.832608
2012-02-17,0.832608
2012-02-16,0.836602
2012-02-15,0.837747
2012-02-14,0.838038
2012-02-13,0.837988
2012-02-10,0.837223
2012-02-09,0.833574
2012-02-08,0.830322
2012-02-07,0.830137
2012-02-06,0.831539
2012-02-03,0.831029
2012-02-02,0.83244
2012-02-01,0.836175
2012-01-31,0.838907
2012-01-30,0.839231
2012-01-27,0.83602
2012-01-26,0.83466
2012-01-25,0.834221
2012-01-24,0.831559
2012-01-23,0.831705
2012-01-20,0.833601
2012-01-19,0.831166
2012-01-18,0.828222
2012-01-17,0.827095
2012-01-16,0.829106
2012-01-13,0.829661
2012-01-12,0.825938
2012-01-11,0.825563
2012-01-10,0.824645
2012-01-09,0.825541
2012-01-06,0.829126
2012-01-05,0.832982
2012-01-04,0.834658
2012-01-03,0.834065
