Date,CURRFX.EURAUD.1
2012-12-17,1.24359
2012-12-14,1.23832
2012-12-13,1.23433
2012-12-12,1.23433
2012-12-11,1.23212
2012-12-10,1.23713
2012-12-07,1.24705
2012-12-06,1.25052
2012-12-05,1.25068
2012-12-04,1.24909
2012-12-03,1.24337
2012-11-30,1.23872
2012-11-29,1.23703
2012-11-28,1.2389
2012-11-27,1.24029
2012-11-26,1.24
2012-11-23,1.23728
2012-11-22,1.23353
2012-11-21,1.2309
2012-11-20,1.23094
2012-11-19,1.23242
2012-11-16,1.22789
2012-11-15,1.21984
2012-11-14,1.21927
2012-11-13,1.22194
2012-11-12,1.22421
2012-11-09,1.22548
2012-11-08,1.22774
2012-11-07,1.2315
2012-11-06,1.23847
2012-11-05,1.24402
2012-11-02,1.24867
2012-11-01,1.24963
2012-10-31,1.24854
2012-10-30,1.24755
2012-10-29,1.2489
2012-10-26,1.2538
2012-10-25,1.25984
2012-10-24,1.26489
2012-10-23,1.26327
2012-10-22,1.26132
2012-10-19,1.26437
2012-10-18,1.26768
2012-10-17,1.26565
2012-10-16,1.26482
2012-10-15,1.26177
2012-10-12,1.2571
2012-10-11,1.26202
2012-10-10,1.26982
2012-10-09,1.27731
2012-10-08,1.27549
2012-10-05,1.26524
2012-10-04,1.25826
2012-10-03,1.2477
2012-10-02,1.24063
2012-10-01,1.2385
2012-09-28,1.23941
2012-09-27,1.24164
2012-09-26,1.24066
2012-09-25,1.24149
2012-09-24,1.24296
2012-09-21,1.24659
2012-09-20,1.24927
2012-09-19,1.25
2012-09-18,1.24645
2012-09-17,1.24074
2012-09-14,1.23293
2012-09-13,1.23206
2012-09-12,1.23392
2012-09-11,1.23445
2012-09-10,1.23335
2012-09-07,1.23196
2012-09-06,1.23092
2012-09-05,1.2281
2012-09-04,1.22363
2012-09-03,1.21684
2012-08-31,1.21264
2012-08-30,1.20949
2012-08-29,1.2065
2012-08-28,1.20347
2012-08-27,1.20031
2012-08-24,1.19517
2012-08-23,1.18942
2012-08-22,1.18235
2012-08-21,1.18195
2012-08-20,1.17947
2012-08-17,1.17299
2012-08-16,1.17387
2012-08-15,1.17183
2012-08-14,1.16574
2012-08-13,1.16367
2012-08-10,1.16855
2012-08-09,1.17277
