Date,CURRFX.AUDJPY.1
2012-01-10,78.5378
2012-01-09,78.8427
2012-01-06,79.241
2012-01-05,79.3096
2012-01-04,79.0026
2012-01-03,78.6007
2012-01-02,78.4965
2011-12-30,78.6739
2011-12-29,79.0282
2011-12-28,79.1614
2011-12-27,79.2415
2011-12-26,79.1364
2011-12-23,78.8609
2011-12-22,78.3732
2011-12-21,77.6513
2011-12-20,77.4941
2011-12-19,77.5131
2011-12-16,77.5153
2011-12-15,78.0998
2011-12-14,78.6316
2011-12-13,78.9758
2011-12-12,79.4007
2011-12-09,79.6403
2011-12-08,79.6785
2011-12-07,79.6748
2011-12-06,79.8327
2011-12-05,79.5894
2011-12-02,79.1084
2011-12-01,78.2533
2011-11-30,77.3798
2011-11-29,76.2668
2011-11-28,75.2709
2011-11-25,75.123
2011-11-24,75.4915
2011-11-23,76.0176
2011-11-22,76.4806
2011-11-21,77.1463
2011-11-18,77.6621
2011-11-17,78.131
2011-11-16,78.6644
2011-11-15,79.1602
2011-11-14,79.1019
2011-11-11,79.1757
2011-11-10,80.1603
2011-11-09,80.7157
2011-11-08,80.9677
2011-11-07,80.8933
2011-11-04,80.6258
2011-11-03,81.0605
2011-11-02,81.844
2011-11-01,81.9919
2011-10-31,80.8127
2011-10-28,79.764
2011-10-27,79.1626
2011-10-26,79.4547
2011-10-25,79.1768
2011-10-24,78.8666
2011-10-21,78.6829
2011-10-20,78.6736
2011-10-19,78.6169
2011-10-18,79.4911
2011-10-17,79.2738
2011-10-14,77.8882
2011-10-13,76.9521
2011-10-12,76.204
2011-10-11,75.5104
2011-10-10,74.6943
2011-10-07,73.9758
2011-10-06,73.1972
2011-10-05,73.2486
2011-10-04,74.1906
2011-10-03,74.6822
2011-09-30,75.2538
2011-09-29,75.6238
2011-09-28,75.2494
2011-09-27,74.7063
2011-09-26,75.2749
2011-09-23,76.6139
2011-09-22,78.2208
2011-09-21,78.4529
2011-09-20,78.9675
2011-09-19,79.2496
2011-09-16,78.7878
2011-09-15,79.0602
2011-09-14,79.6916
2011-09-13,80.3907
2011-09-12,81.547
2011-09-09,82.04
2011-09-08,81.6666
2011-09-07,81.2536
2011-09-06,81.4314
2011-09-05,81.9715
2011-09-02,82.1716
2011-09-01,81.869
2011-08-31,81.7428
2011-08-30,81.3273
2011-08-29,80.9166
2011-08-26,80.5941
2011-08-25,80.3797
2011-08-24,80.1671
2011-08-23,79.8664
2011-08-22,79.8362
2011-08-19,80.2811
2011-08-18,80.476
2011-08-17,80.2799
2011-08-16,79.8715
2011-08-15,79.1139
2011-08-12,78.7879
2011-08-11,78.8827
2011-08-10,79.2495
2011-08-09,81.0547
2011-08-08,82.5478
2011-08-05,83.4503
2011-08-04,83.3531
2011-08-03,84.5345
2011-08-02,84.8686
2011-08-01,84.9953
2011-07-29,85.8375
2011-07-28,85.6223
2011-07-27,85.095
2011-07-26,84.9845
2011-07-25,85.0169
2011-07-22,84.7478
2011-07-21,84.6049
2011-07-20,84.1299
2011-07-19,84.0116
2011-07-18,84.4948
2011-07-15,84.7438
2011-07-14,84.6206
2011-07-13,85.1952
2011-07-12,86.3366
2011-07-11,86.8339
2011-07-08,86.8832
2011-07-07,86.6232
2011-07-06,86.7353
2011-07-05,86.867
2011-07-04,86.7931
2011-07-01,86.131
2011-06-30,85.4315
2011-06-29,84.5932
2011-06-28,84.3318
2011-06-27,84.5104
2011-06-24,84.8295
2011-06-23,84.9464
2011-06-22,84.8054
2011-06-21,84.8437
2011-06-20,85.1027
2011-06-17,85.4798
2011-06-16,85.792
2011-06-15,85.2778
2011-06-14,84.781
2011-06-13,84.7687
2011-06-10,85.0356
2011-06-09,85.4255
2011-06-08,85.9854
2011-06-07,86.0823
2011-06-06,86.0493
2011-06-03,86.3984
2011-06-02,86.9125
2011-06-01,86.7296
2011-05-31,86.4833
2011-05-30,86.5081
2011-05-27,86.3807
2011-05-26,86.2618
2011-05-25,86.368
2011-05-24,86.6254
2011-05-23,87.0786
2011-05-20,86.7941
2011-05-19,86.2236
2011-05-18,85.8169
2011-05-17,85.4546
2011-05-16,85.727
2011-05-13,86.712
2011-05-12,87.2912
2011-05-11,86.8257
2011-05-10,86.5307
2011-05-09,86.115
2011-05-06,86.4006
2011-05-05,87.7261
2011-05-04,88.5299
2011-05-03,89.0522
2011-05-02,89.0623
2011-04-29,88.9329
2011-04-28,88.3112
2011-04-27,87.8456
2011-04-26,87.9926
2011-04-25,87.9935
2011-04-22,88.0089
2011-04-21,87.3243
2011-04-20,86.8005
2011-04-19,87.4371
2011-04-18,87.7887
2011-04-15,87.8081
2011-04-14,87.9827
2011-04-13,88.5461
2011-04-12,89.4317
2011-04-11,89.3799
2011-04-08,88.8856
2011-04-07,88.0616
2011-04-06,87.2363
2011-04-05,87.2632
2011-04-04,86.6794
2011-04-01,85.5879
2011-03-31,84.89
2011-03-30,83.9621
